id,citing,cited,creation,timespan,journal_sc,author_sc
oci:0604622450-06230489872,omid:br/0604622450,omid:br/06230489872,2004,P14Y,no,no
oci:0604622450-0616081644,omid:br/0604622450,omid:br/0616081644,2004,P9Y,no,no
oci:0604622450-06250527250,omid:br/0604622450,omid:br/06250527250,2004,P7Y,no,no
oci:0604622450-061803765395,omid:br/0604622450,omid:br/061803765395,2004,P8Y,no,no
oci:0604622450-0670526003,omid:br/0604622450,omid:br/0670526003,2004,P4Y,no,no
oci:0604622450-06250529101,omid:br/0604622450,omid:br/06250529101,2004,P9Y,no,no
oci:0604622450-061084028,omid:br/0604622450,omid:br/061084028,2004,P8Y,no,no
oci:0604622450-061503490284,omid:br/0604622450,omid:br/061503490284,2004,P2Y,no,no
oci:0604622450-061601548174,omid:br/0604622450,omid:br/061601548174,2004,P1Y,no,no
oci:062404088466-0630732625,omid:br/062404088466,omid:br/0630732625,2008,P33Y,no,no
oci:062404088466-0640730153,omid:br/062404088466,omid:br/0640730153,2008,P32Y,no,no
oci:062404088466-06150339507,omid:br/062404088466,omid:br/06150339507,2008,P22Y,no,no
oci:062404088466-06160339962,omid:br/062404088466,omid:br/06160339962,2008,P21Y,no,no
oci:06280264898-06220524727,omid:br/06280264898,omid:br/06220524727,2001,P31Y,no,no
oci:061703995490-061301536061,omid:br/061703995490,omid:br/061301536061,2000,P45Y,no,no
oci:061703995490-06160115741,omid:br/061703995490,omid:br/06160115741,2000,P4Y,no,no
oci:061703995490-06180714639,omid:br/061703995490,omid:br/06180714639,2000,P9Y,no,no
oci:061703995490-062401097322,omid:br/061703995490,omid:br/062401097322,2000,P11Y,no,no
oci:061703995490-06230535159,omid:br/061703995490,omid:br/06230535159,2000,P11Y,no,no
oci:061703995490-062103678570,omid:br/061703995490,omid:br/062103678570,2000,P34Y,no,no
oci:061703995490-06104198703,omid:br/061703995490,omid:br/06104198703,2000,P2Y,no,no
oci:061703995490-06120119415,omid:br/061703995490,omid:br/06120119415,2000,P23Y,no,no
oci:0604145638-0604845973,omid:br/0604145638,omid:br/0604845973,1999,P4Y,no,no
oci:0604145638-061402857103,omid:br/0604145638,omid:br/061402857103,1999,P3Y,no,no
oci:0604145638-062603685370,omid:br/0604145638,omid:br/062603685370,1999,P6Y,no,no
oci:0604145638-0604845974,omid:br/0604145638,omid:br/0604845974,1999,P1Y,no,no
oci:06520248673-06704115277,omid:br/06520248673,omid:br/06704115277,2008,P10Y,no,no
oci:06520248673-0611083214,omid:br/06520248673,omid:br/0611083214,2008,P4Y,no,no
oci:06520248673-062203706606,omid:br/06520248673,omid:br/062203706606,2008,P13Y,no,no
oci:06520248673-0634026632,omid:br/06520248673,omid:br/0634026632,2008,P11Y,no,no
oci:06520248673-06903651340,omid:br/06520248673,omid:br/06903651340,2008,P6Y,no,no
oci:06520248673-061902440680,omid:br/06520248673,omid:br/061902440680,2008,P9Y,no,no
oci:06520248673-06150904330,omid:br/06520248673,omid:br/06150904330,2008,P2Y,no,no
oci:06280264905-062203866734,omid:br/06280264905,omid:br/062203866734,2001,P1Y,no,no
oci:06280264905-06903516644,omid:br/06280264905,omid:br/06903516644,2001,P2Y,no,no
oci:06804520793-06260591120,omid:br/06804520793,omid:br/06260591120,2008,P2Y,no,no
oci:06520248527-0604845938,omid:br/06520248527,omid:br/0604845938,2003,P9Y,no,no
oci:06520248527-0690351126,omid:br/06520248527,omid:br/0690351126,2003,P15Y,no,no
oci:06520248490-061103641097,omid:br/06520248490,omid:br/061103641097,2003,P29Y,no,no
oci:06520248490-0640730370,omid:br/06520248490,omid:br/0640730370,2003,P7Y,no,no
oci:06804520687-06101162330,omid:br/06804520687,omid:br/06101162330,2011,P14Y,no,no
oci:0604622448-068092710,omid:br/0604622448,omid:br/068092710,2004,P1Y,no,no
oci:0604622448-06220848477,omid:br/0604622448,omid:br/06220848477,2004,P0Y,no,no
oci:0604622448-062201318006,omid:br/0604622448,omid:br/062201318006,2004,P0Y,no,no
oci:0604622448-061403678651,omid:br/0604622448,omid:br/061403678651,2004,P1Y,no,no
oci:0604622448-061903544390,omid:br/0604622448,omid:br/061903544390,2004,P5Y,no,no
oci:0604622448-06301027820,omid:br/0604622448,omid:br/06301027820,2004,P2Y,no,no
oci:0604145597-062504165811,omid:br/0604145597,omid:br/062504165811,1999,,no,no
oci:0604145597-06510259724,omid:br/0604145597,omid:br/06510259724,1999,P3Y,yes,no
oci:06104519300-062603739708,omid:br/06104519300,omid:br/062603739708,1995,P1Y,no,no
oci:06104519300-065304582,omid:br/06104519300,omid:br/065304582,1995,P1Y,no,no
oci:06104519300-061103322413,omid:br/06104519300,omid:br/061103322413,1995,P9Y,no,no
oci:06104519300-06504309025,omid:br/06104519300,omid:br/06504309025,1995,P3Y,no,no
oci:06104519300-06104141215,omid:br/06104519300,omid:br/06104141215,1995,P2Y,no,no
oci:06104519300-061202768927,omid:br/06104519300,omid:br/061202768927,1995,P2Y,no,no
oci:06510259714-06150354069,omid:br/06510259714,omid:br/06150354069,1996,P2Y,no,no
oci:06510259714-062203649137,omid:br/06510259714,omid:br/062203649137,1996,P5Y,no,no
oci:062404088455-0630354103,omid:br/062404088455,omid:br/0630354103,2008,P50Y,no,no
oci:062404088455-061102862743,omid:br/062404088455,omid:br/061102862743,2008,P7Y,no,no
oci:062404088455-0633025909,omid:br/062404088455,omid:br/0633025909,2008,P10Y,no,no
oci:062404088455-0604845950,omid:br/062404088455,omid:br/0604845950,2008,P22Y,no,no
oci:062404088455-0604845951,omid:br/062404088455,omid:br/0604845951,2008,P24Y,no,no
oci:062404088455-06902458535,omid:br/062404088455,omid:br/06902458535,2008,P5Y,no,no
oci:062404088455-06501136540,omid:br/062404088455,omid:br/06501136540,2008,P2Y,no,no
oci:062404088455-06150727623,omid:br/062404088455,omid:br/06150727623,2008,P1Y,no,no
oci:06530255964-0680805211,omid:br/06530255964,omid:br/0680805211,2007,P38Y,no,no
oci:06530255964-0660807539,omid:br/06530255964,omid:br/0660807539,2007,P37Y,no,no
oci:06530255964-06210530510,omid:br/06530255964,omid:br/06210530510,2007,P28Y,no,no
oci:06530255964-0645013892,omid:br/06530255964,omid:br/0645013892,2007,P3Y,no,no
oci:06530255964-0618079822,omid:br/06530255964,omid:br/0618079822,2007,P3Y,no,no
oci:06530255964-0650587402,omid:br/06530255964,omid:br/0650587402,2007,P1Y,no,no
oci:06804520745-06220524510,omid:br/06804520745,omid:br/06220524510,2011,P39Y,no,no
oci:06804520745-0604026408,omid:br/06804520745,omid:br/0604026408,2011,P1Y,yes,no
oci:06804520745-062101274502,omid:br/06804520745,omid:br/062101274502,2011,P6Y,no,no
oci:06804520745-06604513746,omid:br/06804520745,omid:br/06604513746,2011,P6Y,yes,no
oci:06804520745-0660943797,omid:br/06804520745,omid:br/0660943797,2011,P12Y,no,no
