id,citing,cited
oci:06704474141-061303319348,omid:br/06704474141,omid:br/061303319348
oci:06804496076-062501935036,omid:br/06804496076,omid:br/062501935036
oci:06804496320-061903308937,omid:br/06804496320,omid:br/061903308937
oci:06804495989-06603749568,omid:br/06804495989,omid:br/06603749568
oci:0604008215-06602986545,omid:br/0604008215,omid:br/06602986545
oci:0604008215-06170982686,omid:br/0604008215,omid:br/06170982686
oci:0604008215-061503306206,omid:br/0604008215,omid:br/061503306206
oci:0604008215-061504074111,omid:br/0604008215,omid:br/061504074111
oci:0604008215-062101482832,omid:br/0604008215,omid:br/062101482832
oci:0604008215-061504074112,omid:br/0604008215,omid:br/061504074112
oci:0604008215-06150736278,omid:br/0604008215,omid:br/06150736278
oci:0604008215-06150736775,omid:br/0604008215,omid:br/06150736775
oci:0604008215-061504074113,omid:br/0604008215,omid:br/061504074113
oci:0604008215-06901568923,omid:br/0604008215,omid:br/06901568923
oci:0604008215-06203754040,omid:br/0604008215,omid:br/06203754040
oci:0604008215-061201400351,omid:br/0604008215,omid:br/061201400351
oci:0604008215-06302139677,omid:br/0604008215,omid:br/06302139677
oci:0604008215-061504074114,omid:br/0604008215,omid:br/061504074114
oci:0604008215-06303754349,omid:br/0604008215,omid:br/06303754349
oci:0604008215-061503294440,omid:br/0604008215,omid:br/061503294440
oci:0604008215-061504074115,omid:br/0604008215,omid:br/061504074115
oci:0604008215-06120174644,omid:br/0604008215,omid:br/06120174644
oci:0604008215-061504074116,omid:br/0604008215,omid:br/061504074116
oci:0604008215-061501315330,omid:br/0604008215,omid:br/061501315330
oci:0604008215-06260802832,omid:br/0604008215,omid:br/06260802832
oci:0604008215-061403316176,omid:br/0604008215,omid:br/061403316176
oci:0604008215-06150541381,omid:br/0604008215,omid:br/06150541381
oci:0604008215-06301856005,omid:br/0604008215,omid:br/06301856005
oci:06804495986-06190641577,omid:br/06804495986,omid:br/06190641577
oci:06804495986-062202750795,omid:br/06804495986,omid:br/062202750795
oci:06804495986-06120776387,omid:br/06804495986,omid:br/06120776387
oci:06804495986-061301382815,omid:br/06804495986,omid:br/061301382815
oci:06804495986-061401912655,omid:br/06804495986,omid:br/061401912655
oci:06804495986-061602716363,omid:br/06804495986,omid:br/061602716363
oci:06804495986-062601603728,omid:br/06804495986,omid:br/062601603728
oci:06804495986-06190835728,omid:br/06804495986,omid:br/06190835728
oci:06804496337-062303564500,omid:br/06804496337,omid:br/062303564500
oci:06804496046-062301876130,omid:br/06804496046,omid:br/062301876130
oci:06804496046-062301876129,omid:br/06804496046,omid:br/062301876129
oci:06804496046-06110837732,omid:br/06804496046,omid:br/06110837732
oci:06804496046-062301876065,omid:br/06804496046,omid:br/062301876065
oci:06804496046-062301875921,omid:br/06804496046,omid:br/062301875921
oci:06804496046-062301876302,omid:br/06804496046,omid:br/062301876302
oci:06804496046-06480242042,omid:br/06804496046,omid:br/06480242042
oci:06804496046-06150324120,omid:br/06804496046,omid:br/06150324120
oci:06804496046-0690850649,omid:br/06804496046,omid:br/0690850649
oci:06804496046-0620408475,omid:br/06804496046,omid:br/0620408475
oci:06804496046-06210548938,omid:br/06804496046,omid:br/06210548938
oci:06804496046-0680153218,omid:br/06804496046,omid:br/0680153218
oci:06804496046-06120827933,omid:br/06804496046,omid:br/06120827933
oci:06804496046-06170885477,omid:br/06804496046,omid:br/06170885477
oci:06804496046-0690850430,omid:br/06804496046,omid:br/0690850430
oci:06804496046-0610151981,omid:br/06804496046,omid:br/0610151981
oci:06804496046-06480242043,omid:br/06804496046,omid:br/06480242043
oci:06804496046-062301876222,omid:br/06804496046,omid:br/062301876222
oci:06804496046-0660843931,omid:br/06804496046,omid:br/0660843931
oci:06804496046-061501018006,omid:br/06804496046,omid:br/061501018006
oci:06804496046-0690851085,omid:br/06804496046,omid:br/0690851085
oci:06804496046-061703058738,omid:br/06804496046,omid:br/061703058738
oci:06804496046-06150324071,omid:br/06804496046,omid:br/06150324071
oci:06804496046-062301876263,omid:br/06804496046,omid:br/062301876263
