id,citing,cited,creation,timespan,journal_sc,author_sc
oci:061804099872-06480228237,omid:br/061804099872,omid:br/06480228237,1998,P11Y,no,no
oci:061804099872-061701281741,omid:br/061804099872,omid:br/061701281741,1998,P0Y,no,no
oci:061804099842-0640123181,omid:br/061804099842,omid:br/0640123181,2006,P57Y,no,no
oci:061804099842-061604073609,omid:br/061804099842,omid:br/061604073609,2006,,no,no
oci:061804099842-0604009932,omid:br/061804099842,omid:br/0604009932,2006,P10Y,no,no
oci:061804099842-061701282153,omid:br/061804099842,omid:br/061701282153,2006,P4Y,no,no
oci:061804099860-0611080147,omid:br/061804099860,omid:br/0611080147,2006,P13Y,no,no
oci:061804099860-06130263098,omid:br/061804099860,omid:br/06130263098,2006,P10Y,no,no
oci:061804099863-062601566056,omid:br/061804099863,omid:br/062601566056,2002,-P4Y,no,no
oci:06204007730-061202038261,omid:br/06204007730,omid:br/061202038261,2007,P14Y,no,no
oci:06204007730-061503583933,omid:br/06204007730,omid:br/061503583933,2007,P5Y,yes,no
oci:06204007730-06501162799,omid:br/06204007730,omid:br/06501162799,2007,P2Y,no,no
oci:06204007730-06201498508,omid:br/06204007730,omid:br/06201498508,2007,P34Y,no,no
oci:06204007730-061804099874,omid:br/06204007730,omid:br/061804099874,2007,P9Y,yes,no
oci:06204007730-061302039161,omid:br/06204007730,omid:br/061302039161,2007,P5Y,no,no
oci:06204007730-06230557593,omid:br/06204007730,omid:br/06230557593,2007,P22Y,no,no
oci:06204007730-061503586085,omid:br/06204007730,omid:br/061503586085,2007,P9Y,no,no
oci:06204007730-06130576151,omid:br/06204007730,omid:br/06130576151,2007,P2Y,no,no
oci:06204007730-061301785154,omid:br/06204007730,omid:br/061301785154,2007,P7Y,no,no
oci:06204007730-061101958469,omid:br/06204007730,omid:br/061101958469,2007,P11Y,no,no
oci:06204007730-061603582085,omid:br/06204007730,omid:br/061603582085,2007,,no,no
oci:06204007730-06802327115,omid:br/06204007730,omid:br/06802327115,2007,P11Y,no,no
oci:06204007730-06502998073,omid:br/06204007730,omid:br/06502998073,2007,P25Y,no,no
oci:061804099852-06190650314,omid:br/061804099852,omid:br/06190650314,2005,P5Y,no,no
oci:061804099852-061401772137,omid:br/061804099852,omid:br/061401772137,2005,P3Y,no,no
oci:061804099841-061301785154,omid:br/061804099841,omid:br/061301785154,2004,P4Y,no,no
