id,citing,cited
oci:061704081336-061501865230,omid:br/061704081336,omid:br/061501865230
oci:061704081328-061303094987,omid:br/061704081328,omid:br/061303094987
oci:061704081328-0690866197,omid:br/061704081328,omid:br/0690866197
oci:061704081328-0650888563,omid:br/061704081328,omid:br/0650888563
oci:061704081328-06120855558,omid:br/061704081328,omid:br/06120855558
oci:061704081328-06604525082,omid:br/061704081328,omid:br/06604525082
oci:061704081328-06120565315,omid:br/061704081328,omid:br/06120565315
oci:061704081328-062401645544,omid:br/061704081328,omid:br/062401645544
oci:061704081328-06160808532,omid:br/061704081328,omid:br/06160808532
oci:061704081328-06110852263,omid:br/061704081328,omid:br/06110852263
oci:061704081328-06203189640,omid:br/061704081328,omid:br/06203189640
oci:061704081328-061503960468,omid:br/061704081328,omid:br/061503960468
oci:061704081328-06120843348,omid:br/061704081328,omid:br/06120843348
oci:061704081328-0630873058,omid:br/061704081328,omid:br/0630873058
oci:061704081328-062201899495,omid:br/061704081328,omid:br/062201899495
oci:061704081328-061603134388,omid:br/061704081328,omid:br/061603134388
oci:061704081328-0650116584,omid:br/061704081328,omid:br/0650116584
oci:061704081461-06703506733,omid:br/061704081461,omid:br/06703506733
oci:061704081461-06170858458,omid:br/061704081461,omid:br/06170858458
oci:061704081461-06130845788,omid:br/061704081461,omid:br/06130845788
oci:061704081461-061803123635,omid:br/061704081461,omid:br/061803123635
oci:061704081461-0690217160,omid:br/061704081461,omid:br/0690217160
oci:061704081461-06120843100,omid:br/061704081461,omid:br/06120843100
oci:061704081362-062401645767,omid:br/061704081362,omid:br/062401645767
oci:061704081362-061603114621,omid:br/061704081362,omid:br/061603114621
oci:061704081362-06604525106,omid:br/061704081362,omid:br/06604525106
oci:061704081362-06180197304,omid:br/061704081362,omid:br/06180197304
oci:061704081362-06210200754,omid:br/061704081362,omid:br/06210200754
oci:061704081362-06190198855,omid:br/061704081362,omid:br/06190198855
oci:061704081362-061903895412,omid:br/061704081362,omid:br/061903895412
oci:061704081362-06170514966,omid:br/061704081362,omid:br/06170514966
oci:061704081362-06503719193,omid:br/061704081362,omid:br/06503719193
oci:061704081362-062301091124,omid:br/061704081362,omid:br/062301091124
oci:061704081362-062102857751,omid:br/061704081362,omid:br/062102857751
oci:061704081348-06110900602,omid:br/061704081348,omid:br/06110900602
oci:061704081348-06240206556,omid:br/061704081348,omid:br/06240206556
oci:061704081348-0652011653,omid:br/061704081348,omid:br/0652011653
oci:061704081348-06110826917,omid:br/061704081348,omid:br/06110826917
oci:061704081348-062302142842,omid:br/061704081348,omid:br/062302142842
oci:061704081348-06140797819,omid:br/061704081348,omid:br/06140797819
oci:061704081348-061901196756,omid:br/061704081348,omid:br/061901196756
oci:061704081348-0640119599,omid:br/061704081348,omid:br/0640119599
oci:061704081367-061503960468,omid:br/061704081367,omid:br/061503960468
oci:061704081367-061403087978,omid:br/061704081367,omid:br/061403087978
oci:061704081367-06101682587,omid:br/061704081367,omid:br/06101682587
oci:061704081367-065101574,omid:br/061704081367,omid:br/065101574
oci:061704081367-06190211322,omid:br/061704081367,omid:br/06190211322
oci:061704081367-062401645746,omid:br/061704081367,omid:br/062401645746
oci:061704081367-06601400236,omid:br/061704081367,omid:br/06601400236
oci:061704081367-0680885261,omid:br/061704081367,omid:br/0680885261
oci:061704081367-06902664861,omid:br/061704081367,omid:br/06902664861
oci:061704081367-0640790281,omid:br/061704081367,omid:br/0640790281
oci:061704081333-06701387054,omid:br/061704081333,omid:br/06701387054
oci:061704081333-061503109272,omid:br/061704081333,omid:br/061503109272
oci:061704081333-06120843361,omid:br/061704081333,omid:br/06120843361
oci:061704081333-06403192923,omid:br/061704081333,omid:br/06403192923
oci:061704081333-0660883974,omid:br/061704081333,omid:br/0660883974
oci:061704081333-0680810266,omid:br/061704081333,omid:br/0680810266
oci:061704081333-0640790207,omid:br/061704081333,omid:br/0640790207
oci:061704081360-06250206639,omid:br/061704081360,omid:br/06250206639
oci:061704081360-0640790693,omid:br/061704081360,omid:br/0640790693
oci:061704081360-06110619086,omid:br/061704081360,omid:br/06110619086
oci:061704081360-06260225157,omid:br/061704081360,omid:br/06260225157
oci:061704081360-06110901151,omid:br/061704081360,omid:br/06110901151
oci:061704081360-061203619842,omid:br/061704081360,omid:br/061203619842
oci:061704081360-062302123609,omid:br/061704081360,omid:br/062302123609
oci:061704081360-062302123601,omid:br/061704081360,omid:br/062302123601
oci:061704081360-062503092339,omid:br/061704081360,omid:br/062503092339
oci:061704081360-062503092333,omid:br/061704081360,omid:br/062503092333
oci:061704081360-06110851316,omid:br/061704081360,omid:br/06110851316
oci:061704081360-061302124082,omid:br/061704081360,omid:br/061302124082
oci:061704081360-062502030243,omid:br/061704081360,omid:br/062502030243
oci:061704081360-0680212071,omid:br/061704081360,omid:br/0680212071
oci:061704081353-061501504345,omid:br/061704081353,omid:br/061501504345
oci:061704081353-061703103002,omid:br/061704081353,omid:br/061703103002
oci:061704081352-062603107811,omid:br/061704081352,omid:br/062603107811
oci:061704081352-061803880827,omid:br/061704081352,omid:br/061803880827
oci:061704081352-062301126674,omid:br/061704081352,omid:br/062301126674
oci:061704081352-06604525094,omid:br/061704081352,omid:br/06604525094
oci:061704081352-062502030041,omid:br/061704081352,omid:br/062502030041
oci:061704081352-06120843581,omid:br/061704081352,omid:br/06120843581
oci:061704081352-062503091894,omid:br/061704081352,omid:br/062503091894
oci:061704081352-06230213885,omid:br/061704081352,omid:br/06230213885
oci:061704081352-061303094862,omid:br/061704081352,omid:br/061303094862
oci:061704081352-0610632140,omid:br/061704081352,omid:br/0610632140
oci:061704081352-061801939655,omid:br/061704081352,omid:br/061801939655
oci:061704081352-06170809593,omid:br/061704081352,omid:br/06170809593
oci:061704081352-06110900468,omid:br/061704081352,omid:br/06110900468
oci:061704081342-0620116876,omid:br/061704081342,omid:br/0620116876
oci:061704081342-06503531702,omid:br/061704081342,omid:br/06503531702
oci:061704081342-0690890700,omid:br/061704081342,omid:br/0690890700
oci:061704081342-0620116601,omid:br/061704081342,omid:br/0620116601
oci:061704081342-06170334749,omid:br/061704081342,omid:br/06170334749
oci:061704081342-06303758463,omid:br/061704081342,omid:br/06303758463
oci:061704081342-062603128932,omid:br/061704081342,omid:br/062603128932
oci:061704081342-062101125295,omid:br/061704081342,omid:br/062101125295
oci:061704081405-06501411930,omid:br/061704081405,omid:br/06501411930
oci:061704081405-061804071679,omid:br/061704081405,omid:br/061804071679
oci:061704081405-061101000758,omid:br/061704081405,omid:br/061101000758
oci:061704081405-061301138906,omid:br/061704081405,omid:br/061301138906
oci:061704081405-06101682643,omid:br/061704081405,omid:br/06101682643
oci:061704081361-06604525103,omid:br/061704081361,omid:br/06604525103
oci:061704081361-062501963899,omid:br/061704081361,omid:br/062501963899
oci:061704081361-06801196883,omid:br/061704081361,omid:br/06801196883
oci:061704081361-062201502640,omid:br/061704081361,omid:br/062201502640
oci:061704081361-06120856119,omid:br/061704081361,omid:br/06120856119
oci:061704081361-061101135049,omid:br/061704081361,omid:br/061101135049
oci:061704081361-06190620464,omid:br/061704081361,omid:br/06190620464
oci:061704081361-06403020291,omid:br/061704081361,omid:br/06403020291
oci:061704081361-06604525105,omid:br/061704081361,omid:br/06604525105
oci:061704081361-061702201069,omid:br/061704081361,omid:br/061702201069
oci:061704081361-06301137065,omid:br/061704081361,omid:br/06301137065
oci:061704081361-06802536666,omid:br/061704081361,omid:br/06802536666
oci:061704081356-06110577613,omid:br/061704081356,omid:br/06110577613
oci:061704081356-06604525098,omid:br/061704081356,omid:br/06604525098
oci:061704081356-061702800747,omid:br/061704081356,omid:br/061702800747
oci:061704081356-06150357395,omid:br/061704081356,omid:br/06150357395
oci:061704081356-06301131775,omid:br/061704081356,omid:br/06301131775
oci:061704081356-06301131997,omid:br/061704081356,omid:br/06301131997
oci:061704081356-062601147392,omid:br/061704081356,omid:br/062601147392
oci:061704081356-06604525100,omid:br/061704081356,omid:br/06604525100
oci:061704081356-06701152688,omid:br/061704081356,omid:br/06701152688
oci:061704081356-06701152663,omid:br/061704081356,omid:br/06701152663
oci:061704081356-06210776821,omid:br/061704081356,omid:br/06210776821
oci:061704081356-061501448403,omid:br/061704081356,omid:br/061501448403
oci:061704081356-06501143130,omid:br/061704081356,omid:br/06501143130
oci:061704081356-061201122018,omid:br/061704081356,omid:br/061201122018
oci:061704081356-0638067934,omid:br/061704081356,omid:br/0638067934
oci:061704081338-062603128246,omid:br/061704081338,omid:br/062603128246
oci:061704081338-0680885764,omid:br/061704081338,omid:br/0680885764
oci:061704081338-06102522703,omid:br/061704081338,omid:br/06102522703
oci:061704081338-061103634580,omid:br/061704081338,omid:br/061103634580
oci:061704081338-06604525087,omid:br/061704081338,omid:br/06604525087
oci:061704081338-061201857852,omid:br/061704081338,omid:br/061201857852
oci:061704081338-0640790250,omid:br/061704081338,omid:br/0640790250
oci:061704081338-0610270184,omid:br/061704081338,omid:br/0610270184
oci:061704081345-061203102540,omid:br/061704081345,omid:br/061203102540
oci:061704081345-06130846642,omid:br/061704081345,omid:br/06130846642
oci:061704081345-06401133560,omid:br/061704081345,omid:br/06401133560
oci:061704081345-06502858783,omid:br/061704081345,omid:br/06502858783
oci:061704081345-0610631740,omid:br/061704081345,omid:br/0610631740
oci:061704081345-061902428399,omid:br/061704081345,omid:br/061902428399
oci:061704081345-06101682432,omid:br/061704081345,omid:br/06101682432
oci:061704081345-062202417778,omid:br/061704081345,omid:br/062202417778
oci:061704081345-06101682708,omid:br/061704081345,omid:br/06101682708
oci:061704081345-06120843058,omid:br/061704081345,omid:br/06120843058
oci:061704081345-0620543855,omid:br/061704081345,omid:br/0620543855
oci:061704081345-0610631577,omid:br/061704081345,omid:br/0610631577
oci:061704081345-061902428677,omid:br/061704081345,omid:br/061902428677
oci:061704081345-06101682408,omid:br/061704081345,omid:br/06101682408
oci:061704081345-06130846354,omid:br/061704081345,omid:br/06130846354
oci:061704081345-06170858016,omid:br/061704081345,omid:br/06170858016
oci:061704081345-0670211440,omid:br/061704081345,omid:br/0670211440
oci:061704081345-06110852045,omid:br/061704081345,omid:br/06110852045
oci:061704081354-06503196762,omid:br/061704081354,omid:br/06503196762
oci:061704081354-061701868406,omid:br/061704081354,omid:br/061701868406
oci:061704081354-06401078241,omid:br/061704081354,omid:br/06401078241
oci:061704081354-06301024087,omid:br/061704081354,omid:br/06301024087
oci:061704081354-06110900679,omid:br/061704081354,omid:br/06110900679
oci:061704081354-06701509819,omid:br/061704081354,omid:br/06701509819
oci:061704081354-0690685840,omid:br/061704081354,omid:br/0690685840
oci:061704081354-06903813807,omid:br/061704081354,omid:br/06903813807
oci:061704081354-061301871439,omid:br/061704081354,omid:br/061301871439
oci:061704081354-061203295151,omid:br/061704081354,omid:br/061203295151
oci:061704081354-06201695911,omid:br/061704081354,omid:br/06201695911
oci:061704081354-061902143862,omid:br/061704081354,omid:br/061902143862
oci:061704081354-06120105789,omid:br/061704081354,omid:br/06120105789
oci:061704081354-06604525096,omid:br/061704081354,omid:br/06604525096
oci:061704081340-062602243485,omid:br/061704081340,omid:br/062602243485
oci:061704081340-06702996172,omid:br/061704081340,omid:br/06702996172
oci:061704081340-06503020408,omid:br/061704081340,omid:br/06503020408
oci:061704081340-0690866050,omid:br/061704081340,omid:br/0690866050
oci:061704081340-06102533525,omid:br/061704081340,omid:br/06102533525
oci:061704081340-06601400445,omid:br/061704081340,omid:br/06601400445
oci:061704081340-062501573443,omid:br/061704081340,omid:br/062501573443
oci:061704081340-06503170833,omid:br/061704081340,omid:br/06503170833
oci:061704081340-062101512159,omid:br/061704081340,omid:br/062101512159
oci:061704081340-0640931176,omid:br/061704081340,omid:br/0640931176
oci:061704081340-06170206355,omid:br/061704081340,omid:br/06170206355
oci:061704081355-06802506891,omid:br/061704081355,omid:br/06802506891
oci:061704081355-06240207022,omid:br/061704081355,omid:br/06240207022
