id,citing,cited
oci:06280362170-061402202202,omid:br/06280362170,omid:br/061402202202
oci:06280362252-062202200985,omid:br/06280362252,omid:br/062202200985
oci:06280362252-062402427788,omid:br/06280362252,omid:br/062402427788
oci:06280362343-06480204026,omid:br/06280362343,omid:br/06480204026
oci:06280362159-062402427672,omid:br/06280362159,omid:br/062402427672
oci:06280362159-062402427656,omid:br/06280362159,omid:br/062402427656
oci:06280362164-061201126961,omid:br/06280362164,omid:br/061201126961
oci:06280362164-062402427557,omid:br/06280362164,omid:br/062402427557
oci:06280362164-062402427558,omid:br/06280362164,omid:br/062402427558
oci:06280362163-061403591041,omid:br/06280362163,omid:br/061403591041
oci:06280362163-061101752640,omid:br/06280362163,omid:br/061101752640
oci:06280362165-06110362833,omid:br/06280362165,omid:br/06110362833
oci:06280362176-062502223408,omid:br/06280362176,omid:br/062502223408
oci:06280362282-0650147415,omid:br/06280362282,omid:br/0650147415
oci:06280362182-06130261581,omid:br/06280362182,omid:br/06130261581
oci:06280362171-062402427722,omid:br/06280362171,omid:br/062402427722
oci:06280362171-062601151764,omid:br/06280362171,omid:br/062601151764
oci:06280362171-062402427561,omid:br/06280362171,omid:br/062402427561
oci:06280362171-06220481740,omid:br/06280362171,omid:br/06220481740
oci:06280362245-0690624052,omid:br/06280362245,omid:br/0690624052
oci:06280362213-061101656435,omid:br/06280362213,omid:br/061101656435
oci:06280362169-0604838090,omid:br/06280362169,omid:br/0604838090
oci:06280362183-062402427557,omid:br/06280362183,omid:br/062402427557
oci:06280362249-0617091350,omid:br/06280362249,omid:br/0617091350
oci:06280362190-06301705293,omid:br/06280362190,omid:br/06301705293
oci:06280362375-06303015388,omid:br/06280362375,omid:br/06303015388
oci:06280362375-061501787389,omid:br/06280362375,omid:br/061501787389
oci:06280362285-06180571849,omid:br/06280362285,omid:br/06180571849
oci:06280362285-06150926904,omid:br/06280362285,omid:br/06150926904
oci:06280362285-062402427651,omid:br/06280362285,omid:br/062402427651
oci:06280362285-062402427753,omid:br/06280362285,omid:br/062402427753
oci:06280362226-06220930876,omid:br/06280362226,omid:br/06220930876
oci:06280362247-06480203958,omid:br/06280362247,omid:br/06480203958
oci:06280362247-06704021749,omid:br/06280362247,omid:br/06704021749
oci:06280362247-069088358,omid:br/06280362247,omid:br/069088358
oci:06280362317-062101866271,omid:br/06280362317,omid:br/062101866271
oci:06280362301-0650147685,omid:br/06280362301,omid:br/0650147685
oci:06280362301-062402427677,omid:br/06280362301,omid:br/062402427677
oci:06280362218-061804119909,omid:br/06280362218,omid:br/061804119909
oci:06280362278-0610428203,omid:br/06280362278,omid:br/0610428203
oci:06280362305-062402427678,omid:br/06280362305,omid:br/062402427678
oci:06280362214-06170224593,omid:br/06280362214,omid:br/06170224593
oci:06280362214-06404134021,omid:br/06280362214,omid:br/06404134021
oci:06280362363-061203050953,omid:br/06280362363,omid:br/061203050953
oci:06280362363-06150678446,omid:br/06280362363,omid:br/06150678446
oci:06280362363-06303016136,omid:br/06280362363,omid:br/06303016136
oci:06280362363-06804294463,omid:br/06280362363,omid:br/06804294463
oci:06280362327-062402427547,omid:br/06280362327,omid:br/062402427547
oci:06280362172-062402427878,omid:br/06280362172,omid:br/062402427878
oci:06280362267-06402140388,omid:br/06280362267,omid:br/06402140388
oci:06280362304-062402427557,omid:br/06280362304,omid:br/062402427557
oci:06280362344-061203779695,omid:br/06280362344,omid:br/061203779695
oci:06280362360-06220647627,omid:br/06280362360,omid:br/06220647627
oci:06280362360-06190997824,omid:br/06280362360,omid:br/06190997824
oci:06280362360-06230622632,omid:br/06280362360,omid:br/06230622632
oci:06280362201-061101461398,omid:br/06280362201,omid:br/061101461398
oci:06280362246-06404134110,omid:br/06280362246,omid:br/06404134110
oci:06280362246-06702489639,omid:br/06280362246,omid:br/06702489639
oci:06280362296-06170925291,omid:br/06280362296,omid:br/06170925291
oci:06280362296-064086409,omid:br/06280362296,omid:br/064086409
oci:06280362210-0619083399,omid:br/06280362210,omid:br/0619083399
oci:06280362210-062403052355,omid:br/06280362210,omid:br/062403052355
oci:06280362211-06301704651,omid:br/06280362211,omid:br/06301704651
oci:06280362211-062103306034,omid:br/06280362211,omid:br/062103306034
oci:06280362211-06210345806,omid:br/06280362211,omid:br/06210345806
oci:06280362319-06240605608,omid:br/06280362319,omid:br/06240605608
oci:06280362184-06170899932,omid:br/06280362184,omid:br/06170899932
oci:06280362184-0610624068,omid:br/06280362184,omid:br/0610624068
oci:06280362215-06160354300,omid:br/06280362215,omid:br/06160354300
oci:06280362238-062403050618,omid:br/06280362238,omid:br/062403050618
oci:06280362367-062402427678,omid:br/06280362367,omid:br/062402427678
oci:06280362272-062402427657,omid:br/06280362272,omid:br/062402427657
