id,citing,cited
oci:06410217234-0630423565,omid:br/06410217234,omid:br/0630423565
oci:06410217228-06410217233,omid:br/06410217228,omid:br/06410217233
oci:06410217212-06410217226,omid:br/06410217212,omid:br/06410217226
oci:06410217239-06101276502,omid:br/06410217239,omid:br/06101276502
oci:06410217285-0680401943,omid:br/06410217285,omid:br/0680401943
oci:06410217286-06410217285,omid:br/06410217286,omid:br/06410217285
oci:06410217219-06904100238,omid:br/06410217219,omid:br/06904100238
oci:06410217272-0650689572,omid:br/06410217272,omid:br/0650689572
oci:06410217272-0650689305,omid:br/06410217272,omid:br/0650689305
oci:06410217272-062601274532,omid:br/06410217272,omid:br/062601274532
oci:06410217272-06340345269,omid:br/06410217272,omid:br/06340345269
oci:06410217257-062601274942,omid:br/06410217257,omid:br/062601274942
oci:06410217257-06301210448,omid:br/06410217257,omid:br/06301210448
oci:06410217260-062601274942,omid:br/06410217260,omid:br/062601274942
oci:06410217260-062601274354,omid:br/06410217260,omid:br/062601274354
oci:06410217260-062601274704,omid:br/06410217260,omid:br/062601274704
oci:06410217260-0650690076,omid:br/06410217260,omid:br/0650690076
oci:06410217229-06301210448,omid:br/06410217229,omid:br/06301210448
oci:06404362504-06230431512,omid:br/06404362504,omid:br/06230431512
oci:06404362504-061601853587,omid:br/06404362504,omid:br/061601853587
oci:06404362504-0620601426,omid:br/06404362504,omid:br/0620601426
oci:06404362504-061701133352,omid:br/06404362504,omid:br/061701133352
oci:06390221218-06390221736,omid:br/06390221218,omid:br/06390221736
oci:06390221244-06390221193,omid:br/06390221244,omid:br/06390221193
oci:06390221256-0670395338,omid:br/06390221256,omid:br/0670395338
oci:06390221256-0630423218,omid:br/06390221256,omid:br/0630423218
oci:06410217236-06240972542,omid:br/06410217236,omid:br/06240972542
oci:06410217236-06301210448,omid:br/06410217236,omid:br/06301210448
oci:06410217236-0630423352,omid:br/06410217236,omid:br/0630423352
oci:06410217236-0630423360,omid:br/06410217236,omid:br/0630423360
oci:06410217236-061404012508,omid:br/06410217236,omid:br/061404012508
oci:06410217236-062601274484,omid:br/06410217236,omid:br/062601274484
oci:06390221236-06520316554,omid:br/06390221236,omid:br/06520316554
oci:06390221236-062601274731,omid:br/06390221236,omid:br/062601274731
oci:06390221236-061604000430,omid:br/06390221236,omid:br/061604000430
oci:06390221236-062601274529,omid:br/06390221236,omid:br/062601274529
oci:06410217211-06390221396,omid:br/06410217211,omid:br/06390221396
oci:06410216774-06603718273,omid:br/06410216774,omid:br/06603718273
oci:06410216746-06520316291,omid:br/06410216746,omid:br/06520316291
oci:06410216746-06801280913,omid:br/06410216746,omid:br/06801280913
oci:06410216746-06210354077,omid:br/06410216746,omid:br/06210354077
oci:06410216746-0660500334,omid:br/06410216746,omid:br/0660500334
oci:06410216746-06160486808,omid:br/06410216746,omid:br/06160486808
oci:06410216746-06201283429,omid:br/06410216746,omid:br/06201283429
oci:06410216746-06701272598,omid:br/06410216746,omid:br/06701272598
oci:06410217204-0604846534,omid:br/06410217204,omid:br/0604846534
oci:06410217204-06250743971,omid:br/06410217204,omid:br/06250743971
oci:06410217204-0670335215,omid:br/06410217204,omid:br/0670335215
oci:06410217200-067092221,omid:br/06410217200,omid:br/067092221
oci:06410217200-061202123959,omid:br/06410217200,omid:br/061202123959
oci:06410217200-06520315996,omid:br/06410217200,omid:br/06520315996
oci:06410216731-061804023001,omid:br/06410216731,omid:br/061804023001
oci:06410216731-062304026475,omid:br/06410216731,omid:br/062304026475
oci:06410216736-06301210448,omid:br/06410216736,omid:br/06301210448
oci:06410217279-06240972542,omid:br/06410217279,omid:br/06240972542
oci:06703977344-06390221236,omid:br/06703977344,omid:br/06390221236
oci:06703977344-06603992429,omid:br/06703977344,omid:br/06603992429
oci:06703977344-062601274731,omid:br/06703977344,omid:br/062601274731
oci:06703977344-062601274474,omid:br/06703977344,omid:br/062601274474
oci:06703977344-0690508942,omid:br/06703977344,omid:br/0690508942
oci:06703977344-06210351765,omid:br/06703977344,omid:br/06210351765
oci:06703977344-0690508998,omid:br/06703977344,omid:br/0690508998
oci:06703977344-06801280899,omid:br/06703977344,omid:br/06801280899
oci:06703977344-061104178560,omid:br/06703977344,omid:br/061104178560
oci:06520316443-06501296074,omid:br/06520316443,omid:br/06501296074
oci:06520316443-06410217657,omid:br/06520316443,omid:br/06410217657
oci:06520316443-06410217669,omid:br/06520316443,omid:br/06410217669
oci:06520316443-06410217667,omid:br/06520316443,omid:br/06410217667
oci:06903617853-0630484073,omid:br/06903617853,omid:br/0630484073
oci:06903617853-061801677525,omid:br/06903617853,omid:br/061801677525
oci:06520316493-061601687102,omid:br/06520316493,omid:br/061601687102
oci:06520316493-06220416599,omid:br/06520316493,omid:br/06220416599
oci:06410217665-06410217219,omid:br/06410217665,omid:br/06410217219
oci:06410216713-06520316499,omid:br/06410216713,omid:br/06520316499
oci:06410216713-06410216870,omid:br/06410216713,omid:br/06410216870
oci:06410216713-06410217676,omid:br/06410216713,omid:br/06410217676
oci:06410216766-0650689965,omid:br/06410216766,omid:br/0650689965
oci:06410216766-0630423309,omid:br/06410216766,omid:br/0630423309
oci:06410216766-061404012508,omid:br/06410216766,omid:br/061404012508
oci:06410216766-062601274832,omid:br/06410216766,omid:br/062601274832
oci:06410216766-06440253312,omid:br/06410216766,omid:br/06440253312
oci:06520316438-06220418595,omid:br/06520316438,omid:br/06220418595
oci:06520316438-06401289079,omid:br/06520316438,omid:br/06401289079
oci:06520316438-06201283387,omid:br/06520316438,omid:br/06201283387
oci:06410216763-06101276512,omid:br/06410216763,omid:br/06101276512
oci:06410216763-06250881993,omid:br/06410216763,omid:br/06250881993
oci:06410216763-061901738439,omid:br/06410216763,omid:br/061901738439
oci:06410217606-06410217219,omid:br/06410217606,omid:br/06410217219
oci:06604008075-062601274414,omid:br/06604008075,omid:br/062601274414
oci:06604008075-06230431512,omid:br/06604008075,omid:br/06230431512
oci:06604008075-061902398383,omid:br/06604008075,omid:br/061902398383
oci:06604008075-062601274397,omid:br/06604008075,omid:br/062601274397
oci:06604008075-062601274833,omid:br/06604008075,omid:br/062601274833
oci:06604008075-062601274796,omid:br/06604008075,omid:br/062601274796
oci:06604008075-062601274277,omid:br/06604008075,omid:br/062601274277
oci:06604008075-0604846526,omid:br/06604008075,omid:br/0604846526
oci:06604008075-0650689554,omid:br/06604008075,omid:br/0650689554
oci:06604008075-06101276536,omid:br/06604008075,omid:br/06101276536
oci:06520316509-06190488305,omid:br/06520316509,omid:br/06190488305
oci:06520316509-06101468429,omid:br/06520316509,omid:br/06101468429
oci:06520316495-06390221846,omid:br/06520316495,omid:br/06390221846
oci:06410217624-0603970633,omid:br/06410217624,omid:br/0603970633
oci:06410217624-06390221193,omid:br/06410217624,omid:br/06390221193
oci:06410216732-06410217219,omid:br/06410216732,omid:br/06410217219
oci:06410217661-061402772842,omid:br/06410217661,omid:br/061402772842
oci:06410217661-0615091182,omid:br/06410217661,omid:br/0615091182
oci:06410217661-0680401678,omid:br/06410217661,omid:br/0680401678
oci:06410217661-06230785335,omid:br/06410217661,omid:br/06230785335
oci:06410217661-06410217638,omid:br/06410217661,omid:br/06410217638
oci:06410217661-061501960966,omid:br/06410217661,omid:br/061501960966
oci:06410217657-06220416678,omid:br/06410217657,omid:br/06220416678
oci:06410217657-0630423218,omid:br/06410217657,omid:br/0630423218
oci:06410217669-0680401523,omid:br/06410217669,omid:br/0680401523
oci:06410217669-0670395621,omid:br/06410217669,omid:br/0670395621
oci:06410217669-06410217657,omid:br/06410217669,omid:br/06410217657
oci:06520316523-06802625586,omid:br/06520316523,omid:br/06802625586
oci:06520316523-0604846529,omid:br/06520316523,omid:br/0604846529
oci:06520316516-062601274397,omid:br/06520316516,omid:br/062601274397
oci:06520316516-062601274814,omid:br/06520316516,omid:br/062601274814
oci:06410216753-06504557673,omid:br/06410216753,omid:br/06504557673
oci:06520316505-061601853587,omid:br/06520316505,omid:br/061601853587
oci:06520316505-062601274669,omid:br/06520316505,omid:br/062601274669
oci:06520316505-06101276502,omid:br/06520316505,omid:br/06101276502
oci:06520316505-06240420723,omid:br/06520316505,omid:br/06240420723
oci:06520316505-062101035833,omid:br/06520316505,omid:br/062101035833
oci:06520316505-061701133352,omid:br/06520316505,omid:br/061701133352
oci:06520316505-06101276424,omid:br/06520316505,omid:br/06101276424
oci:06520316505-0650689649,omid:br/06520316505,omid:br/0650689649
oci:06520316505-06390221722,omid:br/06520316505,omid:br/06390221722
oci:06520316505-06390221762,omid:br/06520316505,omid:br/06390221762
oci:06410216779-06250351917,omid:br/06410216779,omid:br/06250351917
oci:06520316520-06201090904,omid:br/06520316520,omid:br/06201090904
oci:06520316520-061403936095,omid:br/06520316520,omid:br/061403936095
oci:06520316520-0604838557,omid:br/06520316520,omid:br/0604838557
