id,citing,cited,creation,timespan,journal_sc,author_sc
oci:0604279626-061101545283,omid:br/0604279626,omid:br/061101545283,1942,P6Y,no,no
oci:0604279685-061202183072,omid:br/0604279685,omid:br/061202183072,1942,P2Y,no,no
oci:0604279716-06601623397,omid:br/0604279716,omid:br/06601623397,1942,-P18Y,no,no
oci:0604279706-06801543312,omid:br/0604279706,omid:br/06801543312,1942,P3Y,no,no
oci:0604279712-0604846539,omid:br/0604279712,omid:br/0604846539,1942,P1Y,no,no
oci:0604279680-062301537770,omid:br/0604279680,omid:br/062301537770,1942,P2Y,no,no
oci:0604279643-0604846540,omid:br/0604279643,omid:br/0604846540,1942,P1Y,no,no
oci:0604279673-061202183072,omid:br/0604279673,omid:br/061202183072,1942,P2Y,no,no
oci:0604279673-061902192480,omid:br/0604279673,omid:br/061902192480,1942,P1Y,no,no
oci:0604279672-061202183072,omid:br/0604279672,omid:br/061202183072,1942,P2Y,no,no
oci:0604279634-061701542595,omid:br/0604279634,omid:br/061701542595,1942,P1Y,no,no
oci:0604279635-0670124967,omid:br/0604279635,omid:br/0670124967,1942,P16Y,no,no
oci:06104569934-0604392616,omid:br/06104569934,omid:br/0604392616,2017,P19Y,yes,no
oci:06104569934-06404572530,omid:br/06104569934,omid:br/06404572530,2017,P6Y,yes,no
oci:06104569990-06290224955,omid:br/06104569990,omid:br/06290224955,2017,P36Y,no,no
oci:06104570522-061701022634,omid:br/06104570522,omid:br/061701022634,2016,P1Y,no,no
oci:06104570587-061404008555,omid:br/06104570587,omid:br/061404008555,2016,P32Y,no,no
oci:06104569913-06110901219,omid:br/06104569913,omid:br/06110901219,2017,P10Y,no,no
oci:06104570591-061303113605,omid:br/06104570591,omid:br/061303113605,2016,P1Y,no,no
oci:0604000028-06110901314,omid:br/0604000028,omid:br/06110901314,2015,P11Y,no,no
oci:06104569962-061603969848,omid:br/06104569962,omid:br/061603969848,2017,P3Y,no,no
oci:06104570569-06603203794,omid:br/06104570569,omid:br/06603203794,2016,P8Y,no,no
oci:06104570536-06301084685,omid:br/06104570536,omid:br/06301084685,2016,P23Y,no,no
oci:06104570536-06604567359,omid:br/06104570536,omid:br/06604567359,2016,P2Y,no,no
oci:0603999974-061102407614,omid:br/0603999974,omid:br/061102407614,2015,P12Y,no,no
oci:06104570530-061602887697,omid:br/06104570530,omid:br/061602887697,2016,P3Y,no,no
oci:06104570530-06404549484,omid:br/06104570530,omid:br/06404549484,2016,P2Y,no,no
oci:06104569941-06110900605,omid:br/06104569941,omid:br/06110900605,2017,P4Y,no,no
oci:06104570545-068019919,omid:br/06104570545,omid:br/068019919,2017,,no,no
oci:06104570545-0632034243,omid:br/06104570545,omid:br/0632034243,2017,P2Y,no,no
oci:06104570560-061203122017,omid:br/06104570560,omid:br/061203122017,2016,P0Y,no,no
oci:06104570524-061404009254,omid:br/06104570524,omid:br/061404009254,2017,P34Y,no,no
oci:06104570565-06390204036,omid:br/06104570565,omid:br/06390204036,2016,P3Y,no,no
oci:06104569972-0650772347,omid:br/06104569972,omid:br/0650772347,2018,P5Y,no,no
oci:06104569972-062301864196,omid:br/06104569972,omid:br/062301864196,2018,P5Y,no,no
oci:06104569972-062602266637,omid:br/06104569972,omid:br/062602266637,2018,P1Y,no,no
oci:06104569972-06901541879,omid:br/06104569972,omid:br/06901541879,2018,P5Y,no,no
oci:06104570508-062104054252,omid:br/06104570508,omid:br/062104054252,2016,P29Y,no,no
oci:06104570593-06504575433,omid:br/06104570593,omid:br/06504575433,2017,P5Y,yes,no
oci:06104569937-062103569693,omid:br/06104569937,omid:br/062103569693,2018-05-20,P1Y,no,no
oci:06104569969-061303994349,omid:br/06104569969,omid:br/061303994349,2017,P28Y,no,no
oci:0604000056-068019919,omid:br/0604000056,omid:br/068019919,2016,,no,no
oci:06104569920-06320300028,omid:br/06104569920,omid:br/06320300028,2017,P5Y,no,no
oci:06104569920-0604340877,omid:br/06104569920,omid:br/0604340877,2017,P3Y,no,no
oci:06104570005-062908730,omid:br/06104570005,omid:br/062908730,2017,P1Y,no,no
oci:06104569939-061102407344,omid:br/06104569939,omid:br/061102407344,2018-05-20,P5Y,no,no
