id,citing,cited,creation,timespan,journal_sc,author_sc
oci:06270291215-06102618838,omid:br/06270291215,omid:br/06102618838,2020,P2Y,no,no
oci:06270291215-062401461234,omid:br/06270291215,omid:br/062401461234,2020,P20Y,no,no
oci:06270291222-06303031290,omid:br/06270291222,omid:br/06303031290,2020,P1Y,no,no
oci:0604636341-06250274128,omid:br/0604636341,omid:br/06250274128,2016,P4Y,no,no
oci:061904054520-06704471307,omid:br/061904054520,omid:br/06704471307,2010,P2Y,no,no
oci:061904054520-06904095641,omid:br/061904054520,omid:br/06904095641,2010,P2Y,no,no
oci:061904054520-06804494024,omid:br/061904054520,omid:br/06804494024,2010,P6Y,no,no
oci:061904054520-06804494027,omid:br/061904054520,omid:br/06804494027,2010,P6Y,no,no
oci:061904054520-06904095578,omid:br/061904054520,omid:br/06904095578,2010,P2Y,no,no
oci:061904054491-065206278,omid:br/061904054491,omid:br/065206278,2010,P0Y,no,no
oci:061904054464-062101778426,omid:br/061904054464,omid:br/062101778426,2010,P12Y,no,no
oci:061103583752-06103768184,omid:br/061103583752,omid:br/06103768184,2019-03-15,P1Y11M6D,no,no
oci:061103583752-062601328998,omid:br/061103583752,omid:br/062601328998,2019-03-15,P4Y0M4D,no,no
oci:061904054484-061401195315,omid:br/061904054484,omid:br/061401195315,2011,P8Y,no,no
oci:0604636369-0660907921,omid:br/0604636369,omid:br/0660907921,2014,P2Y,no,no
oci:0604636369-0670877257,omid:br/0604636369,omid:br/0670877257,2014,P23Y,no,no
oci:061904054472-0690109444,omid:br/061904054472,omid:br/0690109444,2011,P17Y,no,no
oci:061904054472-06120146871,omid:br/061904054472,omid:br/06120146871,2011,P8Y,no,no
oci:061904054472-061301497534,omid:br/061904054472,omid:br/061301497534,2011,P9Y,no,no
oci:061904054416-061902621084,omid:br/061904054416,omid:br/061902621084,2019-03-15,P2Y5M2D,no,no
oci:061904054416-0650294286,omid:br/061904054416,omid:br/0650294286,2019-03-15,P3Y6M25D,no,no
oci:061904054512-062101018448,omid:br/061904054512,omid:br/062101018448,2007,P6Y,no,no
oci:061904054512-061901029232,omid:br/061904054512,omid:br/061901029232,2007,P8Y,no,no
oci:061904054512-062101018794,omid:br/061904054512,omid:br/062101018794,2007,P3Y,no,no
oci:061904054512-061901028574,omid:br/061904054512,omid:br/061901028574,2007,P6Y,no,no
oci:061904054512-062301018224,omid:br/061904054512,omid:br/062301018224,2007,P3Y,no,no
oci:061904054538-06501501426,omid:br/061904054538,omid:br/06501501426,2011,P0Y,no,no
oci:0604636338-06604000736,omid:br/0604636338,omid:br/06604000736,2014,P4Y,no,no
