id,citing,cited,creation,timespan,journal_sc,author_sc
oci:06380253138-06120787525,omid:br/06380253138,omid:br/06120787525,2004-02-01,P0Y8M13D,no,no
oci:06380253138-06101666926,omid:br/06380253138,omid:br/06101666926,2004-02-01,P4Y3M28D,no,no
oci:0604608817-062203740495,omid:br/0604608817,omid:br/062203740495,2003-03-01,P2Y7M,no,no
oci:061403985079-061303694103,omid:br/061403985079,omid:br/061303694103,2006-06-01,P8Y,no,no
oci:061403985079-061703512527,omid:br/061403985079,omid:br/061703512527,2006-06-01,P8Y1M8D,no,no
oci:061403985079-06180353932,omid:br/061403985079,omid:br/06180353932,2006-06-01,P0Y8M,no,no
oci:061403985079-0690366601,omid:br/061403985079,omid:br/0690366601,2006-06-01,P3Y6M,no,no
oci:06604517817-06470607,omid:br/06604517817,omid:br/06470607,2008-06-01,P1Y9M,no,no
oci:06450254605-061067582,omid:br/06450254605,omid:br/061067582,1997-12-01,P13Y6M,no,no
oci:06450254605-061603591179,omid:br/06450254605,omid:br/061603591179,1997-12-01,,no,no
oci:06450254605-06260947864,omid:br/06450254605,omid:br/06260947864,1997-12-01,P4Y6M,no,no
oci:06450254605-06240477635,omid:br/06450254605,omid:br/06240477635,1997-12-01,P1Y5M24D,no,no
oci:06450254605-062303581029,omid:br/06450254605,omid:br/062303581029,1997-12-01,,no,no
oci:06450254605-062401689101,omid:br/06450254605,omid:br/062401689101,1997-12-01,P4Y1M,no,no
oci:06204527346-061203496091,omid:br/06204527346,omid:br/061203496091,2001-08-01,P0Y11M21D,no,no
oci:06530260937-061501580448,omid:br/06530260937,omid:br/061501580448,2002-06-01,P4Y8M,no,no
oci:06530260937-061803285623,omid:br/06530260937,omid:br/061803285623,2002-06-01,P5Y,no,no
oci:06450254569-06250481417,omid:br/06450254569,omid:br/06250481417,1997-11-01,P1Y4M18D,no,no
oci:06520253313-062201730527,omid:br/06520253313,omid:br/062201730527,2010-04-01,P2Y,no,no
oci:06430251840-0690754652,omid:br/06430251840,omid:br/0690754652,2006-09-01,P1Y1M,no,no
oci:06430251840-062301202218,omid:br/06430251840,omid:br/062301202218,2006-09-01,P2Y6M,no,no
oci:06430251840-062102120902,omid:br/06430251840,omid:br/062102120902,2006-09-01,P0Y7M20D,no,no
oci:06104523190-06110614718,omid:br/06104523190,omid:br/06110614718,1995,P5Y,no,no
oci:062404091767-06110677359,omid:br/062404091767,omid:br/06110677359,2009,P2Y,no,no
oci:062404091767-06210485259,omid:br/062404091767,omid:br/06210485259,2009,P2Y,no,no
oci:061104130738-0670418037,omid:br/061104130738,omid:br/0670418037,2018,P1Y,no,no
oci:06460250484-0610363283,omid:br/06460250484,omid:br/0610363283,2001-05-01,P6Y11M,no,no
oci:061403985087-062501700882,omid:br/061403985087,omid:br/062501700882,2006-07-01,P0Y9M17D,no,no
oci:061403985087-061801202154,omid:br/061403985087,omid:br/061801202154,2006-07-01,P4Y1M0D,no,no
oci:061403985087-0640674614,omid:br/061403985087,omid:br/0640674614,2006-07-01,P5Y,no,no
oci:061503984460-06110676585,omid:br/061503984460,omid:br/06110676585,2010-05-01,P1Y9M,no,no
oci:061503984460-06260366813,omid:br/061503984460,omid:br/06260366813,2010-05-01,P0Y8M19D,no,no
oci:06380253115-062403567589,omid:br/06380253115,omid:br/062403567589,2004-02-01,,no,no
oci:06380253115-061401117817,omid:br/06380253115,omid:br/061401117817,2004-02-01,P4Y1M11D,no,no
oci:06380253115-061601134512,omid:br/06380253115,omid:br/061601134512,2004-02-01,P2Y11M5D,no,no
oci:06380253115-0630349359,omid:br/06380253115,omid:br/0630349359,2004-02-01,P4Y5M,no,no
oci:06380253115-06403910059,omid:br/06380253115,omid:br/06403910059,2004-02-01,P1Y11M11D,no,no
oci:06380253115-06240341361,omid:br/06380253115,omid:br/06240341361,2004-02-01,P2Y1M,no,no
oci:06380253115-0690366027,omid:br/06380253115,omid:br/0690366027,2004-02-01,P0Y11M8D,no,no
oci:06380253115-061202696119,omid:br/06380253115,omid:br/061202696119,2004-02-01,P7Y10M,no,no
oci:06380253115-061902706535,omid:br/06380253115,omid:br/061902706535,2004-02-01,P4Y10M,no,no
oci:06380253115-06303909100,omid:br/06380253115,omid:br/06303909100,2004-02-01,P1Y7M14D,no,no
oci:06380253115-0616090266,omid:br/06380253115,omid:br/0616090266,2004-02-01,P1Y4M,no,no
oci:06380253115-06150844280,omid:br/06380253115,omid:br/06150844280,2004-02-01,P1Y7M0D,no,no
oci:06380253115-061203623093,omid:br/06380253115,omid:br/061203623093,2004-02-01,P1Y,no,no
oci:06380253115-06130834534,omid:br/06380253115,omid:br/06130834534,2004-02-01,P2Y5M0D,no,no
oci:06380253115-06160844942,omid:br/06380253115,omid:br/06160844942,2004-02-01,P0Y7M0D,no,no
oci:06380253115-06220349766,omid:br/06380253115,omid:br/06220349766,2004-02-01,P0Y7M20D,no,no
oci:062204077771-06802633292,omid:br/062204077771,omid:br/06802633292,2006-05-01,P0Y7M0D,no,no
oci:062204077771-062301051924,omid:br/062204077771,omid:br/062301051924,2006-05-01,P1Y11M,no,no
oci:062204077771-06201377589,omid:br/062204077771,omid:br/06201377589,2006-05-01,P0Y9M11D,no,no
oci:06904128111-0680468532,omid:br/06904128111,omid:br/0680468532,2003-11-01,P0Y,no,no
oci:06904128111-06303301347,omid:br/06904128111,omid:br/06303301347,2003-11-01,P3Y,no,no
oci:06904128111-06250347508,omid:br/06904128111,omid:br/06250347508,2003-11-01,P2Y2M,no,no
oci:06904128111-06160489080,omid:br/06904128111,omid:br/06160489080,2003-11-01,P1Y2M16D,no,no
oci:06104523228-0624076971,omid:br/06104523228,omid:br/0624076971,1998-08-01,P0Y11M,no,no
oci:06104523228-061803499654,omid:br/06104523228,omid:br/061803499654,1998-08-01,P0Y9M1D,no,no
oci:06510265937-06240519638,omid:br/06510265937,omid:br/06240519638,2003,P1Y,no,no
oci:06510265937-06701534188,omid:br/06510265937,omid:br/06701534188,2003,P8Y,no,no
oci:06380253132-0610337032,omid:br/06380253132,omid:br/0610337032,2004-02-01,P1Y,no,no
oci:06380253132-061503725268,omid:br/06380253132,omid:br/061503725268,2004-02-01,P7Y,no,no
oci:06380253132-061403678660,omid:br/06380253132,omid:br/061403678660,2004-02-01,P0Y11M,no,no
oci:06804526032-062302884383,omid:br/06804526032,omid:br/062302884383,2005-09-01,P10Y11M,no,no
oci:06804526032-06104101523,omid:br/06804526032,omid:br/06104101523,2005-09-01,P16Y9M,no,no
oci:06804526032-061702697175,omid:br/06804526032,omid:br/061702697175,2005-09-01,P5Y,no,no
oci:06604517881-062102615874,omid:br/06604517881,omid:br/062102615874,2008-06-01,P4Y0M,no,no
oci:06604517881-0620591603,omid:br/06604517881,omid:br/0620591603,2008-06-01,P13Y,no,no
oci:06604517881-0620591584,omid:br/06604517881,omid:br/0620591584,2008-06-01,P13Y,no,no
oci:06604517881-06180950865,omid:br/06604517881,omid:br/06180950865,2008-06-01,P0Y,no,no
oci:06410256796-06220341609,omid:br/06410256796,omid:br/06220341609,2002-07-01,P3Y0M,no,no
oci:06410256796-06110491034,omid:br/06410256796,omid:br/06110491034,2002-07-01,P20Y2M22D,no,no
oci:06410256796-06250484162,omid:br/06410256796,omid:br/06250484162,2002-07-01,P19Y6M7D,no,no
oci:06410256796-06150678504,omid:br/06410256796,omid:br/06150678504,2002-07-01,P18Y8M,no,no
oci:06410256796-0610355166,omid:br/06410256796,omid:br/0610355166,2002-07-01,P4Y7M,no,no
oci:06410256796-06210354808,omid:br/06410256796,omid:br/06210354808,2002-07-01,P8Y0M,no,no
oci:06410256796-06140351395,omid:br/06410256796,omid:br/06140351395,2002-07-01,P6Y3M,no,no
oci:06410256796-06504134597,omid:br/06410256796,omid:br/06504134597,2002-07-01,P12Y,no,no
oci:06410256796-061903509068,omid:br/06410256796,omid:br/061903509068,2002-07-01,P1Y9M16D,no,no
oci:06504533276-0604826832,omid:br/06504533276,omid:br/0604826832,1999-11-01,P17Y,no,no
oci:06504533276-061202130020,omid:br/06504533276,omid:br/061202130020,1999-11-01,P13Y8M,no,no
oci:062404092010-06120352704,omid:br/062404092010,omid:br/06120352704,2006,P5Y,no,no
oci:062404092010-06160353804,omid:br/062404092010,omid:br/06160353804,2006,P1Y,no,no
oci:062404092010-06180353729,omid:br/062404092010,omid:br/06180353729,2006,P1Y,no,no
oci:062404092010-0670356411,omid:br/062404092010,omid:br/0670356411,2006,P2Y,no,no
oci:06304516933-061603509711,omid:br/06304516933,omid:br/061603509711,2007-06-01,P6Y3M16D,no,no
oci:06304516933-06230490255,omid:br/06304516933,omid:br/06230490255,2007-06-01,P16Y0M22D,no,no
oci:06304516933-061803765413,omid:br/06304516933,omid:br/061803765413,2007-06-01,P10Y8M,no,no
oci:06304516933-0640487880,omid:br/06304516933,omid:br/0640487880,2007-06-01,P13Y3M28D,no,no
oci:06304516933-0630528291,omid:br/06304516933,omid:br/0630528291,2007-06-01,P8Y9M0D,no,no
oci:06304516933-06170349314,omid:br/06304516933,omid:br/06170349314,2007-06-01,P2Y1M29D,no,no
oci:06304516933-062601555976,omid:br/06304516933,omid:br/062601555976,2007-06-01,P6Y10M3D,no,no
oci:06304516933-061102124413,omid:br/06304516933,omid:br/061102124413,2007-06-01,P3Y3M27D,no,no
oci:06304516933-06701532748,omid:br/06304516933,omid:br/06701532748,2007-06-01,P2Y6M29D,no,no
oci:062204077770-061102110863,omid:br/062204077770,omid:br/061102110863,2006-04-01,P3Y11M,no,no
oci:062204077770-0650243588,omid:br/062204077770,omid:br/0650243588,2006-04-01,P0Y8M16D,no,no
oci:06370263057-06190267362,omid:br/06370263057,omid:br/06190267362,2003-07-01,P0Y10M17D,no,no
oci:061603990043-06903075590,omid:br/061603990043,omid:br/06903075590,2000-11-01,P0Y11M23D,no,no
oci:06504532903-06504143798,omid:br/06504532903,omid:br/06504143798,1999-08-01,P2Y,no,no
oci:06504532903-06301026082,omid:br/06504532903,omid:br/06301026082,1999-08-01,P3Y2M,no,no
oci:06504532903-06301026226,omid:br/06504532903,omid:br/06301026226,1999-08-01,P2Y0M,no,no
oci:06504532903-06301026315,omid:br/06504532903,omid:br/06301026315,1999-08-01,P6Y6M,no,no
oci:06504532903-06201712921,omid:br/06504532903,omid:br/06201712921,1999-08-01,P0Y10M,no,no
oci:06604517810-06160353343,omid:br/06604517810,omid:br/06160353343,2008-06-01,P2Y10M8D,no,no
oci:06604517810-0690361090,omid:br/06604517810,omid:br/0690361090,2008-06-01,P0Y9M13D,no,no
oci:06490252329-061803500864,omid:br/06490252329,omid:br/061803500864,2007-02-01,P5Y8M,no,no
oci:06490252329-061601706714,omid:br/06490252329,omid:br/061601706714,2007-02-01,P1Y0M,no,no
oci:06490252329-062502397404,omid:br/06490252329,omid:br/062502397404,2007-02-01,P2Y9M,no,no
oci:06490252329-06202839808,omid:br/06490252329,omid:br/06202839808,2007-02-01,P5Y1M,no,no
oci:061703998931-0680362141,omid:br/061703998931,omid:br/0680362141,2006-03-01,P1Y10M,no,no
oci:061703998931-0690495692,omid:br/061703998931,omid:br/0690495692,2006-03-01,P0Y7M14D,no,no
oci:06704497079-0630486296,omid:br/06704497079,omid:br/0630486296,1997-09-01,P10Y8M13D,no,no
oci:06704497079-06190358161,omid:br/06704497079,omid:br/06190358161,1997-09-01,P0Y7M,no,no
oci:06704497079-06210354782,omid:br/06704497079,omid:br/06210354782,1997-09-01,P2Y1M,no,no
oci:061303975283-0632027187,omid:br/061303975283,omid:br/0632027187,2009-07-01,P4Y10M4D,no,no
oci:061303975283-06303713616,omid:br/061303975283,omid:br/06303713616,2009-07-01,P0Y8M4D,no,no
oci:061303975283-061201127033,omid:br/061303975283,omid:br/061201127033,2009-07-01,P9Y10M0D,no,no
oci:06104523142-06230535358,omid:br/06104523142,omid:br/06230535358,1995-12-01,P5Y9M11D,no,no
oci:06104523142-0670527792,omid:br/06104523142,omid:br/0670527792,1995-12-01,P3Y1M18D,no,no
oci:06104523142-06140521526,omid:br/06104523142,omid:br/06140521526,1995-12-01,P14Y8M0D,no,no
oci:06104523142-06903404399,omid:br/06104523142,omid:br/06903404399,1995-12-01,P1Y,no,no
oci:06380253426-0670721325,omid:br/06380253426,omid:br/0670721325,2009-08-01,P7Y8M,no,no
oci:06380253426-0630722721,omid:br/06380253426,omid:br/0630722721,2009-08-01,P5Y10M,no,no
oci:06380253426-061101540737,omid:br/06380253426,omid:br/061101540737,2009-08-01,P13Y,no,no
oci:06380253426-062301387920,omid:br/06380253426,omid:br/062301387920,2009-08-01,P3Y,no,no
oci:06490252400-062304133019,omid:br/06490252400,omid:br/062304133019,2007-02-01,,no,no
oci:0604562341-0630357783,omid:br/0604562341,omid:br/0630357783,1998-05-01,P2Y7M,no,no
oci:0604562341-06170350490,omid:br/0604562341,omid:br/06170350490,1998-05-01,P1Y0M,no,no
oci:0604562341-06240342111,omid:br/0604562341,omid:br/06240342111,1998-05-01,P0Y7M,no,no
oci:0604562341-06190358511,omid:br/0604562341,omid:br/06190358511,1998-05-01,P1Y0M,no,no
oci:061203995510-06150353960,omid:br/061203995510,omid:br/06150353960,1995-11-01,P2Y2M,no,no
oci:06804525949-06240477635,omid:br/06804525949,omid:br/06240477635,1998-02-01,P1Y7M25D,no,no
oci:061603990380-06704095083,omid:br/061603990380,omid:br/06704095083,1998-12-01,P7Y,no,no
oci:061603990380-0630727719,omid:br/061603990380,omid:br/0630727719,1998-12-01,P3Y3M,no,no
oci:061603990380-06250711958,omid:br/061603990380,omid:br/06250711958,1998-12-01,P0Y4M,no,no
oci:061603990371-06130350149,omid:br/061603990371,omid:br/06130350149,1998,P23Y,no,no
oci:061603990371-06301027265,omid:br/061603990371,omid:br/06301027265,1998,P3Y,no,no
oci:061603990371-06302387155,omid:br/061603990371,omid:br/06302387155,1998,P2Y,no,no
oci:061603990371-0660724062,omid:br/061603990371,omid:br/0660724062,1998,P2Y,no,no
oci:061603990371-06150115391,omid:br/061603990371,omid:br/06150115391,1998,P3Y,no,no
oci:061603990371-06140111879,omid:br/061603990371,omid:br/06140111879,1998,P5Y,no,no
oci:061603990371-06202387873,omid:br/061603990371,omid:br/06202387873,1998,P4Y,no,no
oci:061603990371-062202414869,omid:br/061603990371,omid:br/062202414869,1998,P3Y,no,no
oci:061603990371-062302418179,omid:br/061603990371,omid:br/062302418179,1998,P2Y,no,no
oci:062204077156-062204086497,omid:br/062204077156,omid:br/062204086497,1996-03-01,P6Y,no,no
oci:062204077156-06260924055,omid:br/062204077156,omid:br/06260924055,1996-03-01,P20Y9M,no,no
oci:06410256736-06401338433,omid:br/06410256736,omid:br/06401338433,2002-07-01,P1Y,no,no
oci:062404091082-06204230067,omid:br/062404091082,omid:br/06204230067,2000-04-01,P0Y9M,no,no
oci:062404091082-061801077196,omid:br/062404091082,omid:br/061801077196,2000-04-01,P0Y11M0D,no,no
