id,citing,cited
oci:06380232318-062202112091,omid:br/06380232318,omid:br/062202112091
oci:06380232587-061601650173,omid:br/06380232587,omid:br/061601650173
oci:06380232587-06380232721,omid:br/06380232587,omid:br/06380232721
oci:06380232565-0690525330,omid:br/06380232565,omid:br/0690525330
oci:061703580687-0604832842,omid:br/061703580687,omid:br/0604832842
oci:06380232585-06390260286,omid:br/06380232585,omid:br/06390260286
oci:06380232582-0630462024,omid:br/06380232582,omid:br/0630462024
oci:06380232582-06150672160,omid:br/06380232582,omid:br/06150672160
oci:06380232047-06380232355,omid:br/06380232047,omid:br/06380232355
oci:06380232391-06402514146,omid:br/06380232391,omid:br/06402514146
oci:06380232391-06160266179,omid:br/06380232391,omid:br/06160266179
oci:06380232391-06160463513,omid:br/06380232391,omid:br/06160463513
oci:06380232391-06380301046,omid:br/06380232391,omid:br/06380301046
oci:06380232391-06380232224,omid:br/06380232391,omid:br/06380232224
oci:06380232562-06380232679,omid:br/06380232562,omid:br/06380232679
oci:06380232319-062403523348,omid:br/06380232319,omid:br/062403523348
oci:06380232319-06150672129,omid:br/06380232319,omid:br/06150672129
oci:06380232319-06403942960,omid:br/06380232319,omid:br/06403942960
oci:06380232319-06150672181,omid:br/06380232319,omid:br/06150672181
oci:06380232319-0690525262,omid:br/06380232319,omid:br/0690525262
oci:06380232358-061601650254,omid:br/06380232358,omid:br/061601650254
oci:06380232358-0690973238,omid:br/06380232358,omid:br/0690973238
oci:06380232358-061601650546,omid:br/06380232358,omid:br/061601650546
oci:06380232358-061102110964,omid:br/06380232358,omid:br/061102110964
oci:06380232358-061601650555,omid:br/06380232358,omid:br/061601650555
oci:06380232358-061601650522,omid:br/06380232358,omid:br/061601650522
oci:06380232358-06603929502,omid:br/06380232358,omid:br/06603929502
oci:06380232358-061601650495,omid:br/06380232358,omid:br/061601650495
oci:06380232358-061601650479,omid:br/06380232358,omid:br/061601650479
oci:06380232358-061703792563,omid:br/06380232358,omid:br/061703792563
oci:06350186319-06380232651,omid:br/06350186319,omid:br/06380232651
oci:06380232286-06380232323,omid:br/06380232286,omid:br/06380232323
oci:06380232091-062201090791,omid:br/06380232091,omid:br/062201090791
oci:06380232003-061502128578,omid:br/06380232003,omid:br/061502128578
oci:06380232003-061901139042,omid:br/06380232003,omid:br/061901139042
oci:06380232003-06260280633,omid:br/06380232003,omid:br/06260280633
oci:06380232244-06380232511,omid:br/06380232244,omid:br/06380232511
oci:06380232244-06380232526,omid:br/06380232244,omid:br/06380232526
oci:06380232041-06380232414,omid:br/06380232041,omid:br/06380232414
oci:06380231997-0690525048,omid:br/06380231997,omid:br/0690525048
oci:06380232299-061601650171,omid:br/06380232299,omid:br/061601650171
oci:06380231983-062301858484,omid:br/06380231983,omid:br/062301858484
oci:06380231983-062403523325,omid:br/06380231983,omid:br/062403523325
oci:06380231983-06402226725,omid:br/06380231983,omid:br/06402226725
oci:06380231983-0652043766,omid:br/06380231983,omid:br/0652043766
oci:06380231983-061203784146,omid:br/06380231983,omid:br/061203784146
oci:06380231983-06160266176,omid:br/06380231983,omid:br/06160266176
oci:06380231983-061203951137,omid:br/06380231983,omid:br/061203951137
oci:06380231983-06490213702,omid:br/06380231983,omid:br/06490213702
oci:06380232613-06380232658,omid:br/06380232613,omid:br/06380232658
oci:06380231989-06370261574,omid:br/06380231989,omid:br/06370261574
oci:06380231989-06370261638,omid:br/06380231989,omid:br/06370261638
oci:06380231989-06390259608,omid:br/06380231989,omid:br/06390259608
oci:06380232430-061901516624,omid:br/06380232430,omid:br/061901516624
oci:06380232430-061803772336,omid:br/06380232430,omid:br/061803772336
oci:06380232430-06260281131,omid:br/06380232430,omid:br/06260281131
oci:06380232430-0630683395,omid:br/06380232430,omid:br/0630683395
oci:06380232430-06380232323,omid:br/06380232430,omid:br/06380232323
oci:06380232139-06180184524,omid:br/06380232139,omid:br/06180184524
oci:06380231956-061804053755,omid:br/06380231956,omid:br/061804053755
oci:06380232566-06304592413,omid:br/06380232566,omid:br/06304592413
oci:06380232248-06280234992,omid:br/06380232248,omid:br/06280234992
oci:06380232248-06340241161,omid:br/06380232248,omid:br/06340241161
oci:06380232248-06310224039,omid:br/06380232248,omid:br/06310224039
oci:06380232248-0604831479,omid:br/06380232248,omid:br/0604831479
oci:06380232248-0604832843,omid:br/06380232248,omid:br/0604832843
oci:06380232248-06310224029,omid:br/06380232248,omid:br/06310224029
oci:06380232248-06310224047,omid:br/06380232248,omid:br/06310224047
oci:06380232044-061701629919,omid:br/06380232044,omid:br/061701629919
oci:06380232044-061701629968,omid:br/06380232044,omid:br/061701629968
oci:06380232044-061701629945,omid:br/06380232044,omid:br/061701629945
oci:06380232633-0604832846,omid:br/06380232633,omid:br/0604832846
oci:06380231996-06201848612,omid:br/06380231996,omid:br/06201848612
oci:06380231996-06204208060,omid:br/06380231996,omid:br/06204208060
oci:06380231996-06360297269,omid:br/06380231996,omid:br/06360297269
oci:06380231996-06450222044,omid:br/06380231996,omid:br/06450222044
oci:06380231996-06450298816,omid:br/06380231996,omid:br/06450298816
oci:06380231996-06480230016,omid:br/06380231996,omid:br/06480230016
oci:06380231996-06430294453,omid:br/06380231996,omid:br/06430294453
oci:06380232675-06140665167,omid:br/06380232675,omid:br/06140665167
oci:06380231929-0660824295,omid:br/06380231929,omid:br/0660824295
oci:06380231929-06110522655,omid:br/06380231929,omid:br/06110522655
oci:06380231929-061101031011,omid:br/06380231929,omid:br/061101031011
oci:06380231929-06303279789,omid:br/06380231929,omid:br/06303279789
oci:06380231929-0690525084,omid:br/06380231929,omid:br/0690525084
oci:06380231929-06370261747,omid:br/06380231929,omid:br/06370261747
oci:06380232568-06204484223,omid:br/06380232568,omid:br/06204484223
oci:06380232568-06280234992,omid:br/06380232568,omid:br/06280234992
oci:06380232568-06204484230,omid:br/06380232568,omid:br/06204484230
oci:06380232568-06380232076,omid:br/06380232568,omid:br/06380232076
oci:06380232568-06380232556,omid:br/06380232568,omid:br/06380232556
oci:06380232568-06380232621,omid:br/06380232568,omid:br/06380232621
oci:06380232588-061103784925,omid:br/06380232588,omid:br/061103784925
oci:06380232588-061703342469,omid:br/06380232588,omid:br/061703342469
