id,citing,cited,creation,timespan,journal_sc,author_sc
oci:061503983229-061403982725,omid:br/061503983229,omid:br/061403982725,1992,P0Y,yes,no
oci:061503983288-061503983348,omid:br/061503983288,omid:br/061503983348,1992,P4Y,yes,no
oci:061403982690-061303973149,omid:br/061403982690,omid:br/061303973149,1992,P5Y,yes,no
oci:061403982662-061403982723,omid:br/061403982662,omid:br/061403982723,1992,P0Y,yes,no
oci:061403982733-061303972660,omid:br/061403982733,omid:br/061303972660,1992,P2Y,yes,no
oci:061403982731-061703997478,omid:br/061403982731,omid:br/061703997478,1992,P5Y,yes,no
oci:061503983224-061703996997,omid:br/061503983224,omid:br/061703996997,1992,P1Y,yes,no
oci:061503983224-061703997011,omid:br/061503983224,omid:br/061703997011,1992,P1Y,yes,no
oci:061503983224-0604344798,omid:br/061503983224,omid:br/0604344798,1992,P1Y,yes,no
oci:061403982659-06330234906,omid:br/061403982659,omid:br/06330234906,1992,,no,no
oci:061403982665-0604344769,omid:br/061403982665,omid:br/0604344769,1992,P1Y,yes,no
oci:061403982705-061503982435,omid:br/061403982705,omid:br/061503982435,1992,P7Y,yes,no
oci:061503983261-061303972701,omid:br/061503983261,omid:br/061303972701,1992,P2Y,yes,no
oci:061503983261-061703996997,omid:br/061503983261,omid:br/061703996997,1992,P1Y,yes,no
oci:061503983261-061703997011,omid:br/061503983261,omid:br/061703997011,1992,P1Y,yes,no
oci:061503983261-0604344798,omid:br/061503983261,omid:br/0604344798,1992,P1Y,yes,no
oci:061503983289-06102186087,omid:br/061503983289,omid:br/06102186087,1992,P2Y,no,no
oci:061503983285-061703996997,omid:br/061503983285,omid:br/061703996997,1992,P1Y,yes,no
oci:061503983285-0604344798,omid:br/061503983285,omid:br/0604344798,1992,P1Y,yes,no
oci:061503983285-061303972701,omid:br/061503983285,omid:br/061303972701,1992,P2Y,yes,no
oci:061503983221-061503983245,omid:br/061503983221,omid:br/061503983245,1992,P0Y,yes,no
oci:061503983240-061503983348,omid:br/061503983240,omid:br/061503983348,1992,P4Y,yes,no
oci:061503983250-061403982740,omid:br/061503983250,omid:br/061403982740,1992,P0Y,yes,no
oci:061503983266-062503321309,omid:br/061503983266,omid:br/062503321309,1992,P2Y,no,no
oci:061503983266-06190489710,omid:br/061503983266,omid:br/06190489710,1992,P2Y,no,no
oci:061503983266-062403322800,omid:br/061503983266,omid:br/062403322800,1992,P5Y,no,no
oci:061503983266-06702555846,omid:br/061503983266,omid:br/06702555846,1992,P11Y,no,no
oci:061503983266-06190489913,omid:br/061503983266,omid:br/06190489913,1992,P2Y,no,no
oci:061503983266-06190490026,omid:br/061503983266,omid:br/06190490026,1992,P0Y,no,no
oci:061503983266-06210488986,omid:br/061503983266,omid:br/06210488986,1992,P2Y,no,no
oci:061203992781-061403982376,omid:br/061203992781,omid:br/061403982376,1997,P4Y,yes,no
oci:061503982621-061104128850,omid:br/061503982621,omid:br/061104128850,1996,P1Y,yes,no
oci:061503982644-061203993505,omid:br/061503982644,omid:br/061203993505,1996,P3Y,yes,no
oci:061503982644-061104128825,omid:br/061503982644,omid:br/061104128825,1996,P1Y,yes,no
oci:061503982644-061703997084,omid:br/061503982644,omid:br/061703997084,1996,P1Y,yes,no
oci:061503982576-0604826706,omid:br/061503982576,omid:br/0604826706,1997,P4Y,no,no
oci:061503982574-061503982435,omid:br/061503982574,omid:br/061503982435,1997,P12Y,yes,no
oci:061503982539-0670495150,omid:br/061503982539,omid:br/0670495150,1997,P9Y,no,no
oci:061603987761-061703997316,omid:br/061603987761,omid:br/061703997316,1994,P0Y,yes,no
oci:061603987828-06380251601,omid:br/061603987828,omid:br/06380251601,1994,P4Y,no,no
oci:061603987828-06380252249,omid:br/061603987828,omid:br/06380252249,1994,P16Y,no,no
oci:061603987828-06380252239,omid:br/061603987828,omid:br/06380252239,1994,P16Y,no,no
oci:061603987828-06380252233,omid:br/061603987828,omid:br/06380252233,1994,P16Y,no,no
oci:061603987828-06370261426,omid:br/061603987828,omid:br/06370261426,1994,P13Y,no,no
oci:061603987828-06380251610,omid:br/061603987828,omid:br/06380251610,1994,P4Y,no,no
oci:061603987828-061703997292,omid:br/061603987828,omid:br/061703997292,1994,P0Y,yes,no
oci:061603987828-061403982427,omid:br/061603987828,omid:br/061403982427,1994,P1Y,yes,no
oci:061603987828-061703997316,omid:br/061603987828,omid:br/061703997316,1994,P0Y,yes,no
