id,citing,cited
oci:0604415981-061301508185,omid:br/0604415981,omid:br/061301508185
oci:0604415981-0633068595,omid:br/0604415981,omid:br/0633068595
oci:0604415981-061103503320,omid:br/0604415981,omid:br/061103503320
oci:0604415981-061601418489,omid:br/0604415981,omid:br/061601418489
oci:0604415981-06401227054,omid:br/0604415981,omid:br/06401227054
oci:0604415981-061902148718,omid:br/0604415981,omid:br/061902148718
oci:0604415981-0635067776,omid:br/0604415981,omid:br/0635067776
oci:0604415976-06260223745,omid:br/0604415976,omid:br/06260223745
oci:0604415988-061101165321,omid:br/0604415988,omid:br/061101165321
oci:0604415982-0680558556,omid:br/0604415982,omid:br/0680558556
oci:0604415982-06250872509,omid:br/0604415982,omid:br/06250872509
oci:0604415982-062401393549,omid:br/0604415982,omid:br/062401393549
oci:0604415982-06304180047,omid:br/0604415982,omid:br/06304180047
oci:0604415983-06110370636,omid:br/0604415983,omid:br/06110370636
oci:0604415983-061302221281,omid:br/0604415983,omid:br/061302221281
oci:0604415983-06220166193,omid:br/0604415983,omid:br/06220166193
oci:06410241882-061202124261,omid:br/06410241882,omid:br/061202124261
oci:06410241882-061302127197,omid:br/06410241882,omid:br/061302127197
oci:06410241882-0680754209,omid:br/06410241882,omid:br/0680754209
oci:06410241882-062101012242,omid:br/06410241882,omid:br/062101012242
oci:06410241882-0630349361,omid:br/06410241882,omid:br/0630349361
oci:06410241882-06240314567,omid:br/06410241882,omid:br/06240314567
oci:06410241882-0670422822,omid:br/06410241882,omid:br/0670422822
oci:06410241882-061301490917,omid:br/06410241882,omid:br/061301490917
oci:06410241882-061403031315,omid:br/06410241882,omid:br/061403031315
oci:06410241882-06260335984,omid:br/06410241882,omid:br/06260335984
oci:06410241882-06202617043,omid:br/06410241882,omid:br/06202617043
oci:06410241882-06130236149,omid:br/06410241882,omid:br/06130236149
oci:06410241882-061301616788,omid:br/06410241882,omid:br/061301616788
oci:06410241882-0660337607,omid:br/06410241882,omid:br/0660337607
oci:06410241882-06250318677,omid:br/06410241882,omid:br/06250318677
oci:06410241882-06110748754,omid:br/06410241882,omid:br/06110748754
oci:06410241882-06120880306,omid:br/06410241882,omid:br/06120880306
oci:06410241882-062501010929,omid:br/06410241882,omid:br/062501010929
oci:06410241882-06170754093,omid:br/06410241882,omid:br/06170754093
oci:06410241882-0620754688,omid:br/06410241882,omid:br/0620754688
oci:06410241882-062101011716,omid:br/06410241882,omid:br/062101011716
oci:06410241882-06260228884,omid:br/06410241882,omid:br/06260228884
oci:06410241882-0620754561,omid:br/06410241882,omid:br/0620754561
oci:06410241882-0680754749,omid:br/06410241882,omid:br/0680754749
oci:06410241882-062401526140,omid:br/06410241882,omid:br/062401526140
oci:06410241882-0660337925,omid:br/06410241882,omid:br/0660337925
oci:06410241882-06170146668,omid:br/06410241882,omid:br/06170146668
oci:06410241882-062303288451,omid:br/06410241882,omid:br/062303288451
oci:06410241882-062101561376,omid:br/06410241882,omid:br/062101561376
oci:06410241882-06220745329,omid:br/06410241882,omid:br/06220745329
oci:06410241882-0629056112,omid:br/06410241882,omid:br/0629056112
oci:06410241882-0670422094,omid:br/06410241882,omid:br/0670422094
oci:06410241882-062301450706,omid:br/06410241882,omid:br/062301450706
oci:06410241882-06530325623,omid:br/06410241882,omid:br/06530325623
oci:06410241882-0638063605,omid:br/06410241882,omid:br/0638063605
oci:06410241882-0650335083,omid:br/06410241882,omid:br/0650335083
oci:06410241882-062201015433,omid:br/06410241882,omid:br/062201015433
oci:06410241882-06250168719,omid:br/06410241882,omid:br/06250168719
oci:06410241882-06303248235,omid:br/06410241882,omid:br/06303248235
oci:06410241882-06210635488,omid:br/06410241882,omid:br/06210635488
oci:06410241882-0670422353,omid:br/06410241882,omid:br/0670422353
oci:06410241882-0670422439,omid:br/06410241882,omid:br/0670422439
oci:06803991583-06503153565,omid:br/06803991583,omid:br/06503153565
oci:06410241829-06503153565,omid:br/06410241829,omid:br/06503153565
oci:06703987697-06140157897,omid:br/06703987697,omid:br/06140157897
oci:06703987697-06601440919,omid:br/06703987697,omid:br/06601440919
oci:06703987697-06150159364,omid:br/06703987697,omid:br/06150159364
oci:06703987697-061303039396,omid:br/06703987697,omid:br/061303039396
oci:06703987697-06140158046,omid:br/06703987697,omid:br/06140158046
oci:06703987697-06190665682,omid:br/06703987697,omid:br/06190665682
oci:06703987697-0636044271,omid:br/06703987697,omid:br/0636044271
oci:06410241846-06160341241,omid:br/06410241846,omid:br/06160341241
oci:06404008763-0630946260,omid:br/06404008763,omid:br/0630946260
oci:06404008763-061702830785,omid:br/06404008763,omid:br/061702830785
oci:06404008763-06110940095,omid:br/06404008763,omid:br/06110940095
oci:06404008763-0660943177,omid:br/06404008763,omid:br/0660943177
oci:06410241815-061502835643,omid:br/06410241815,omid:br/061502835643
oci:06410241815-062203479482,omid:br/06410241815,omid:br/062203479482
oci:06410241815-062103100022,omid:br/06410241815,omid:br/062103100022
oci:06410241815-06130256546,omid:br/06410241815,omid:br/06130256546
oci:06410241785-06220399846,omid:br/06410241785,omid:br/06220399846
oci:06410241785-061803299319,omid:br/06410241785,omid:br/061803299319
oci:06504000192-062601035626,omid:br/06504000192,omid:br/062601035626
oci:06504000192-06210355449,omid:br/06504000192,omid:br/06210355449
oci:06504000192-06220491430,omid:br/06504000192,omid:br/06220491430
oci:06504000192-06101738742,omid:br/06504000192,omid:br/06101738742
oci:06504000192-062101317390,omid:br/06504000192,omid:br/062101317390
oci:06504000192-061803532663,omid:br/06504000192,omid:br/061803532663
oci:06504000192-06701419966,omid:br/06504000192,omid:br/06701419966
oci:06504000192-061901330494,omid:br/06504000192,omid:br/061901330494
oci:06504000192-06503748032,omid:br/06504000192,omid:br/06503748032
oci:06410241782-0638053730,omid:br/06410241782,omid:br/0638053730
oci:061303871152-06150258936,omid:br/061303871152,omid:br/06150258936
oci:06410241763-06902424412,omid:br/06410241763,omid:br/06902424412
oci:06410241763-06802779876,omid:br/06410241763,omid:br/06802779876
oci:06410241763-061601280240,omid:br/06410241763,omid:br/061601280240
oci:06410241792-06501451257,omid:br/06410241792,omid:br/06501451257
oci:06410241792-061203723353,omid:br/06410241792,omid:br/061203723353
oci:06410241792-06601440752,omid:br/06410241792,omid:br/06601440752
oci:06410241791-06801280852,omid:br/06410241791,omid:br/06801280852
oci:06410241773-06410241762,omid:br/06410241773,omid:br/06410241762
oci:061403579721-062301734680,omid:br/061403579721,omid:br/062301734680
oci:061403579721-06240269649,omid:br/061403579721,omid:br/06240269649
oci:061403579721-06230280620,omid:br/061403579721,omid:br/06230280620
oci:061403579721-061301477278,omid:br/061403579721,omid:br/061301477278
oci:061403579721-061903091644,omid:br/061403579721,omid:br/061903091644
oci:061403579721-06220269898,omid:br/061403579721,omid:br/06220269898
oci:061403579721-061803589486,omid:br/061403579721,omid:br/061803589486
oci:06903619498-062501761302,omid:br/06903619498,omid:br/062501761302
oci:06903619498-06120976412,omid:br/06903619498,omid:br/06120976412
oci:062603592996-06502393245,omid:br/062603592996,omid:br/06502393245
oci:06380305591-06310194539,omid:br/06380305591,omid:br/06310194539
oci:06380305937-061701301742,omid:br/06380305937,omid:br/061701301742
oci:06380305937-0604837988,omid:br/06380305937,omid:br/0604837988
oci:06380305937-061601306751,omid:br/06380305937,omid:br/061601306751
oci:06380305937-061901303610,omid:br/06380305937,omid:br/061901303610
oci:06380305958-06180762232,omid:br/06380305958,omid:br/06180762232
oci:06380305958-062602258127,omid:br/06380305958,omid:br/062602258127
oci:06310194531-0604837989,omid:br/06310194531,omid:br/0604837989
oci:06310194531-06701074753,omid:br/06310194531,omid:br/06701074753
oci:06310194531-06603128961,omid:br/06310194531,omid:br/06603128961
oci:06310194531-06380305954,omid:br/06310194531,omid:br/06380305954
oci:06310194531-06310194487,omid:br/06310194531,omid:br/06310194487
