id,citing,cited,creation,timespan,journal_sc,author_sc
oci:062304072227-06210934861,omid:br/062304072227,omid:br/06210934861,1992,P9Y,no,no
oci:062304072227-0630493197,omid:br/062304072227,omid:br/0630493197,1992,P16Y,no,no
oci:062304072227-06703464982,omid:br/062304072227,omid:br/06703464982,1992,P8Y,no,no
oci:062304072227-06103109026,omid:br/062304072227,omid:br/06103109026,1992,P9Y,no,no
oci:062304072254-06303922016,omid:br/062304072254,omid:br/06303922016,1992,P52Y,no,no
oci:062304072254-06360207980,omid:br/062304072254,omid:br/06360207980,1992,P6Y,no,no
oci:062304072245-061703988259,omid:br/062304072245,omid:br/061703988259,1992,P17Y,yes,no
oci:062304072245-061804061860,omid:br/062304072245,omid:br/061804061860,1992,P15Y,yes,no
oci:062304072169-06130535287,omid:br/062304072169,omid:br/06130535287,1992,P24Y,no,no
oci:062304072169-06120534482,omid:br/062304072169,omid:br/06120534482,1992,P24Y,no,no
oci:062304072169-061202868538,omid:br/062304072169,omid:br/061202868538,1992,P3Y,no,no
oci:062304072169-061202868595,omid:br/062304072169,omid:br/061202868595,1992,P0Y,no,no
oci:062304072175-061202868455,omid:br/062304072175,omid:br/061202868455,1992,P2Y,no,no
oci:062304072206-06250539079,omid:br/062304072206,omid:br/06250539079,1992,P11Y,no,no
oci:062304072206-06140533110,omid:br/062304072206,omid:br/06140533110,1992,P27Y,no,no
oci:062304072206-061202868306,omid:br/062304072206,omid:br/061202868306,1992,P3Y,no,no
oci:062304072206-061202868551,omid:br/062304072206,omid:br/061202868551,1992,P3Y,no,no
oci:062304072206-061202868609,omid:br/062304072206,omid:br/061202868609,1992,P3Y,no,no
oci:062304072167-062203320582,omid:br/062304072167,omid:br/062203320582,1992,P4Y,no,no
oci:062304072167-061804062451,omid:br/062304072167,omid:br/061804062451,1992,P2Y,yes,no
oci:062304072167-0604831868,omid:br/062304072167,omid:br/0604831868,1992,P1Y,no,no
oci:062304072167-062204066915,omid:br/062304072167,omid:br/062204066915,1992,P5Y,yes,no
oci:062304072167-061904070559,omid:br/062304072167,omid:br/061904070559,1992,P11Y,yes,no
oci:062304072167-0604003567,omid:br/062304072167,omid:br/0604003567,1992,P9Y,yes,no
oci:062304072167-061202868521,omid:br/062304072167,omid:br/061202868521,1992,P7Y,no,no
oci:062304072194-0604286052,omid:br/062304072194,omid:br/0604286052,1992,P3Y,yes,no
oci:062304072233-061503977421,omid:br/062304072233,omid:br/061503977421,1992,P1Y,yes,no
oci:062304072220-06803534901,omid:br/062304072220,omid:br/06803534901,1992,P11Y,no,no
oci:062304072220-061503977481,omid:br/062304072220,omid:br/061503977481,1992,P1Y,yes,no
oci:062304072182-062204066485,omid:br/062304072182,omid:br/062204066485,1992,P8Y,yes,no
oci:062304072262-062304072597,omid:br/062304072262,omid:br/062304072597,1992,P3Y,yes,no
oci:061804062591-0670539242,omid:br/061804062591,omid:br/0670539242,1993,P24Y,no,no
oci:061804062536-06403097525,omid:br/061804062536,omid:br/06403097525,1993,P13Y,no,no
oci:061804062536-06250231765,omid:br/061804062536,omid:br/06250231765,1993,P7Y,no,no
