id,citing,cited,creation,timespan,journal_sc,author_sc
oci:06280311872-061702009254,omid:br/06280311872,omid:br/061702009254,2022-02-10,P0Y5M13D,no,no
oci:06280311872-0630483452,omid:br/06280311872,omid:br/0630483452,2022-02-10,P6Y11M28D,no,no
oci:06280311872-061601799349,omid:br/06280311872,omid:br/061601799349,2022-02-10,P3Y0M26D,no,no
oci:06204575010-061602140961,omid:br/06204575010,omid:br/061602140961,2012,P3Y,no,no
oci:06204575010-062501521830,omid:br/06204575010,omid:br/062501521830,2012,P4Y,no,no
oci:06204575010-0690853196,omid:br/06204575010,omid:br/0690853196,2012,P3Y,no,no
oci:06204575010-06201128004,omid:br/06204575010,omid:br/06201128004,2012,P34Y,no,no
oci:06204575010-061304051971,omid:br/06204575010,omid:br/061304051971,2012,P24Y,no,no
oci:06204575010-0604837213,omid:br/06204575010,omid:br/0604837213,2012,P29Y,no,no
oci:06204575010-06803216934,omid:br/06204575010,omid:br/06803216934,2012,P29Y,no,no
oci:06204575010-062503564194,omid:br/06204575010,omid:br/062503564194,2012,P9Y,no,no
oci:06204575020-06310223521,omid:br/06204575020,omid:br/06310223521,2012,P5Y,no,no
oci:06204575020-061801279717,omid:br/06204575020,omid:br/061801279717,2012,P8Y,no,no
oci:06104586673-0629038969,omid:br/06104586673,omid:br/0629038969,2009,P5Y,no,no
oci:06104586673-061803664963,omid:br/06104586673,omid:br/061803664963,2009,P8Y,no,no
oci:06104586673-0653044725,omid:br/06104586673,omid:br/0653044725,2009,P5Y,no,no
oci:06104586673-06701478618,omid:br/06104586673,omid:br/06701478618,2009,P6Y,no,no
oci:06104586673-062603927680,omid:br/06104586673,omid:br/062603927680,2009,,no,no
oci:06204574656-0604288193,omid:br/06204574656,omid:br/0604288193,2011,P4Y,no,no
oci:06204574656-061904059110,omid:br/06204574656,omid:br/061904059110,2011,P3Y,no,no
oci:06204574656-06301799108,omid:br/06204574656,omid:br/06301799108,2011,P6Y,no,no
oci:06204574656-06104586618,omid:br/06204574656,omid:br/06104586618,2011,P2Y,yes,no
oci:06204574656-0604288275,omid:br/06204574656,omid:br/0604288275,2011,P4Y,no,no
oci:06204574656-06902465034,omid:br/06204574656,omid:br/06902465034,2011,P5Y,no,no
oci:06204574656-061602882762,omid:br/06204574656,omid:br/061602882762,2011,P4Y,no,no
oci:06204574656-06704121743,omid:br/06204574656,omid:br/06704121743,2011,P15Y,no,no
oci:06204574633-0633047768,omid:br/06204574633,omid:br/0633047768,2011,P7Y,no,no
oci:06204574633-06803908517,omid:br/06204574633,omid:br/06803908517,2011,P9Y,no,no
oci:06204574633-06170349724,omid:br/06204574633,omid:br/06170349724,2011,P6Y,no,no
oci:06104586624-06160926531,omid:br/06104586624,omid:br/06160926531,2009,P9Y,no,no
oci:06104586624-06204574847,omid:br/06104586624,omid:br/06204574847,2009,P4Y,yes,no
oci:06204574624-061702052115,omid:br/06204574624,omid:br/061702052115,2011,P27Y,no,no
oci:06204574624-061603509729,omid:br/06204574624,omid:br/061603509729,2011,P12Y,no,no
oci:06204574624-06220482140,omid:br/06204574624,omid:br/06220482140,2011,P31Y,no,no
oci:06204574624-06803908517,omid:br/06204574624,omid:br/06803908517,2011,P9Y,no,no
oci:06204574624-06160488530,omid:br/06204574624,omid:br/06160488530,2011,P9Y,no,no
oci:06104586867-062603960217,omid:br/06104586867,omid:br/062603960217,2007,,no,no
oci:06104586867-0620947497,omid:br/06104586867,omid:br/0620947497,2007,P5Y,no,no
oci:06104586867-06204574555,omid:br/06104586867,omid:br/06204574555,2007,P1Y,yes,no
oci:06104586867-061201475228,omid:br/06104586867,omid:br/061201475228,2007,P12Y,no,no
oci:06104586655-06204085327,omid:br/06104586655,omid:br/06204085327,2009,P22Y,no,no
oci:06104586655-06170341894,omid:br/06104586655,omid:br/06170341894,2009,P3Y,no,no
oci:06104586655-06220358073,omid:br/06104586655,omid:br/06220358073,2009,P9Y,no,no
oci:06104586655-06501136885,omid:br/06104586655,omid:br/06501136885,2009,P1Y,no,no
oci:06104586655-06201127961,omid:br/06104586655,omid:br/06201127961,2009,P5Y,no,no
oci:06104586637-061103343029,omid:br/06104586637,omid:br/061103343029,2009,P5Y,no,no
oci:06104586637-06210760597,omid:br/06104586637,omid:br/06210760597,2009,P3Y,no,no
oci:06204574663-0633047768,omid:br/06204574663,omid:br/0633047768,2011,P7Y,no,no
oci:06204574663-06903526190,omid:br/06204574663,omid:br/06903526190,2011,P13Y,no,no
oci:06204574663-061703512068,omid:br/06204574663,omid:br/061703512068,2011,P12Y,no,no
oci:06204574663-06803908517,omid:br/06204574663,omid:br/06803908517,2011,P9Y,no,no
oci:06204574663-061903508608,omid:br/06204574663,omid:br/061903508608,2011,P9Y,no,no
oci:06204574663-06170349724,omid:br/06204574663,omid:br/06170349724,2011,P6Y,no,no
oci:06204574663-06250900064,omid:br/06204574663,omid:br/06250900064,2011,P1Y,no,no
oci:06204574663-06160488530,omid:br/06204574663,omid:br/06160488530,2011,P9Y,no,no
