id,citing,cited,creation,timespan,journal_sc,author_sc
oci:061303951276-0660620110,omid:br/061303951276,omid:br/0660620110,1993,P16Y,no,no
oci:061303951329-06504133969,omid:br/061303951329,omid:br/06504133969,1993,P6Y,no,no
oci:061303951317-062078342,omid:br/061303951317,omid:br/062078342,1993,P16Y,no,no
oci:061303951281-061401092902,omid:br/061303951281,omid:br/061401092902,1993,P16Y,no,no
oci:061303951283-06602385565,omid:br/061303951283,omid:br/06602385565,1994,-P3Y,no,no
oci:061303951283-06602386195,omid:br/061303951283,omid:br/06602386195,1994,-P2Y,no,no
oci:061303951290-062501380861,omid:br/061303951290,omid:br/062501380861,1993,P21Y,no,no
oci:061303951290-06703206604,omid:br/061303951290,omid:br/06703206604,1993,P19Y,no,no
oci:061303951290-06110900359,omid:br/061303951290,omid:br/06110900359,1993,P5Y,no,no
oci:061303951261-06170925291,omid:br/061303951261,omid:br/06170925291,1994,P37Y,no,no
oci:061303951326-062601559932,omid:br/061303951326,omid:br/062601559932,1994,P60Y,no,no
oci:061303951280-061303951298,omid:br/061303951280,omid:br/061303951298,1994,P1Y,yes,no
oci:061303951307-06902271768,omid:br/061303951307,omid:br/06902271768,1994,-P14Y,no,no
oci:061303951296-061202121664,omid:br/061303951296,omid:br/061202121664,1994,P23Y,no,no
oci:061303951296-06501531375,omid:br/061303951296,omid:br/06501531375,1994,P38Y,no,no
oci:061303951296-06801792981,omid:br/061303951296,omid:br/06801792981,1994,P32Y,no,no
oci:061303951296-06101809031,omid:br/061303951296,omid:br/06101809031,1994,P22Y,no,no
oci:061303951296-06301520101,omid:br/061303951296,omid:br/06301520101,1994,P17Y,no,no
oci:061303951259-06603109670,omid:br/061303951259,omid:br/06603109670,1993,P8Y,no,no
oci:061303951259-061903501258,omid:br/061303951259,omid:br/061903501258,1993,P42Y,no,no
oci:061303951291-06903101759,omid:br/061303951291,omid:br/06903101759,1993,-P7Y,no,no
oci:061303951335-06403500058,omid:br/061303951335,omid:br/06403500058,1993,-P8Y,no,no
oci:061303951335-061403482556,omid:br/061303951335,omid:br/061403482556,1993,-P6Y,no,no
oci:061303951335-06403500390,omid:br/061303951335,omid:br/06403500390,1993,-P4Y,no,no
oci:061303951983-06160353227,omid:br/061303951983,omid:br/06160353227,1997,P21Y,no,no
oci:061403959951-061403959933,omid:br/061403959951,omid:br/061403959933,1996,P0Y,yes,no
oci:061403959855-061403959806,omid:br/061403959855,omid:br/061403959806,1995,P1Y,yes,no
oci:061403959855-061303951303,omid:br/061403959855,omid:br/061303951303,1995,P2Y,yes,no
oci:061403959855-061303951335,omid:br/061403959855,omid:br/061303951335,1995,P2Y,yes,no
oci:0604464230-061401444761,omid:br/0604464230,omid:br/061401444761,1999,P0Y,no,no
oci:061303951993-062103571365,omid:br/061303951993,omid:br/062103571365,1997,P1Y,yes,no
oci:0604464273-061303952023,omid:br/0604464273,omid:br/061303952023,1999,P2Y,yes,no
oci:0604464273-06204001549,omid:br/0604464273,omid:br/06204001549,1999,P1Y,yes,no
oci:061403959860-062101670039,omid:br/061403959860,omid:br/062101670039,1995,P62Y,no,no
oci:061303952001-061303951346,omid:br/061303952001,omid:br/061303951346,1997,P4Y,yes,no
oci:061403959990-06403095315,omid:br/061403959990,omid:br/06403095315,1996,P4Y,no,no
oci:0604464286-061303952010,omid:br/0604464286,omid:br/061303952010,1999,P2Y,yes,no
oci:0604464286-06604006351,omid:br/0604464286,omid:br/06604006351,1999,P1Y,yes,no
oci:061303952010-06104009271,omid:br/061303952010,omid:br/06104009271,1997,P2Y,yes,no
oci:061303952010-061303951963,omid:br/061303952010,omid:br/061303951963,1997,P1Y,yes,no
oci:061303952010-0660947203,omid:br/061303952010,omid:br/0660947203,1997,P24Y,no,no
oci:061303952010-06250679149,omid:br/061303952010,omid:br/06250679149,1997,P25Y,no,no
oci:061403959924-06503097466,omid:br/061403959924,omid:br/06503097466,1996,-P6Y,no,no
oci:061303951431-061301245764,omid:br/061303951431,omid:br/061301245764,2006,P5Y,no,no
oci:061303951431-06130840460,omid:br/061303951431,omid:br/06130840460,2006,P8Y,no,no
oci:061303951932-0604679663,omid:br/061303951932,omid:br/0604679663,1997,,no,no
