id,citing,cited,creation,timespan,journal_sc,author_sc
oci:061404051998-06260500070,omid:br/061404051998,omid:br/06260500070,2021,P5Y,no,no
oci:061404051998-0610356130,omid:br/061404051998,omid:br/0610356130,2021,P5Y,no,no
oci:061404051998-0620484751,omid:br/061404051998,omid:br/0620484751,2021,P6Y,no,no
oci:061404051998-06303034763,omid:br/061404051998,omid:br/06303034763,2021,P5Y,no,no
oci:061404051998-06180856809,omid:br/061404051998,omid:br/06180856809,2021,P5Y,no,no
oci:061404051998-06170865626,omid:br/061404051998,omid:br/06170865626,2021,P4Y,no,no
oci:061404051998-06160865027,omid:br/061404051998,omid:br/06160865027,2021,P2Y,no,no
oci:061404051998-062501611232,omid:br/061404051998,omid:br/062501611232,2021,P4Y,no,no
oci:061404051976-062201611003,omid:br/061404051976,omid:br/062201611003,2021,P2Y,no,no
oci:061404051976-061701718636,omid:br/061404051976,omid:br/061701718636,2021,P1Y,no,no
oci:061404051993-062201611150,omid:br/061404051993,omid:br/062201611150,2021,P4Y,no,no
oci:061404051993-062201611149,omid:br/061404051993,omid:br/062201611149,2021,P4Y,no,no
oci:061404051971-061703586480,omid:br/061404051971,omid:br/061703586480,2021,,no,no
oci:061404052005-06320215311,omid:br/061404052005,omid:br/06320215311,2021,P4Y,no,no
oci:0604468735-06702132050,omid:br/0604468735,omid:br/06702132050,2019,P1Y,no,no
oci:0604468745-061503971306,omid:br/0604468745,omid:br/061503971306,2019,,no,no
oci:0604468745-061503971307,omid:br/0604468745,omid:br/061503971307,2019,,no,no
oci:0604468796-06303042410,omid:br/0604468796,omid:br/06303042410,2019,P3Y,no,no
oci:0604468796-06303042574,omid:br/0604468796,omid:br/06303042574,2019,P4Y,no,no
oci:0604468796-06203044973,omid:br/0604468796,omid:br/06203044973,2019,P1Y,no,no
oci:0604468796-06303042422,omid:br/0604468796,omid:br/06303042422,2019,P3Y,no,no
oci:0604468796-06303042345,omid:br/0604468796,omid:br/06303042345,2019,P3Y,no,no
oci:0604468796-062202611623,omid:br/0604468796,omid:br/062202611623,2019,P3Y,no,no
oci:06204376634-062401626506,omid:br/06204376634,omid:br/062401626506,2019,P4Y,no,no
oci:061104000797-062501174087,omid:br/061104000797,omid:br/062501174087,2021,P4Y,no,no
oci:061104000797-061401577549,omid:br/061104000797,omid:br/061401577549,2021,P49Y,no,no
oci:0604468773-062602830977,omid:br/0604468773,omid:br/062602830977,2019,P12Y,no,no
oci:0604468773-0670102331,omid:br/0604468773,omid:br/0670102331,2019,P9Y,no,no
oci:0604468773-0690265639,omid:br/0604468773,omid:br/0690265639,2019,P8Y,no,no
oci:0604468743-061903099880,omid:br/0604468743,omid:br/061903099880,2018,P0Y,no,no
oci:0604468743-06703743348,omid:br/0604468743,omid:br/06703743348,2018,P10Y,no,no
oci:0604468743-061903344650,omid:br/0604468743,omid:br/061903344650,2018,P2Y,no,no
oci:0604468743-061401773677,omid:br/0604468743,omid:br/061401773677,2018,P4Y,no,no
oci:0604468743-061503070172,omid:br/0604468743,omid:br/061503070172,2018,P5Y,no,no
oci:0604468743-061801269834,omid:br/0604468743,omid:br/061801269834,2018,P7Y,no,no
oci:0604468743-06180426023,omid:br/0604468743,omid:br/06180426023,2018,P8Y,no,no
oci:0604468743-0650664856,omid:br/0604468743,omid:br/0650664856,2018,P10Y,no,no
oci:0604468751-0660862361,omid:br/0604468751,omid:br/0660862361,2018,P14Y,no,no
oci:0604468751-0650866221,omid:br/0604468751,omid:br/0650866221,2018,P2Y,no,no
oci:0604468751-061901518903,omid:br/0604468751,omid:br/061901518903,2018,P3Y,no,no
oci:06603992946-0620227564,omid:br/06603992946,omid:br/0620227564,2019,P6Y,no,no
oci:06603992946-061103140207,omid:br/06603992946,omid:br/061103140207,2019,P4Y,no,no
oci:0604468759-061502817016,omid:br/0604468759,omid:br/061502817016,2019,P13Y,no,no
oci:0604468759-06150282668,omid:br/0604468759,omid:br/06150282668,2019,P14Y,no,no
