id,citing,cited,creation,timespan,journal_sc,author_sc
oci:06390201050-06901164157,omid:br/06390201050,omid:br/06901164157,2011,P12Y,no,no
oci:06390201050-06260280446,omid:br/06390201050,omid:br/06260280446,2011,P14Y,no,no
oci:06390201050-0660570840,omid:br/06390201050,omid:br/0660570840,2011,P3Y,no,no
oci:06390201050-061203774607,omid:br/06390201050,omid:br/061203774607,2011,P10Y,no,no
oci:06390201050-0630264299,omid:br/06390201050,omid:br/0630264299,2011,P14Y,no,no
oci:06390201050-06170926368,omid:br/06390201050,omid:br/06170926368,2011,P1Y,no,no
oci:06390201050-06504134047,omid:br/06390201050,omid:br/06504134047,2011,P24Y,no,no
oci:06390201050-06301811993,omid:br/06390201050,omid:br/06301811993,2011,P2Y,no,no
oci:06390201050-06230651092,omid:br/06390201050,omid:br/06230651092,2011,P25Y,no,no
oci:06390201050-061101063514,omid:br/06390201050,omid:br/061101063514,2011,P2Y,no,no
oci:06390201050-061203065476,omid:br/06390201050,omid:br/061203065476,2011,P10Y,no,no
oci:06390201050-06160644613,omid:br/06390201050,omid:br/06160644613,2011,P18Y,no,no
oci:06390201050-0690834974,omid:br/06390201050,omid:br/0690834974,2011,P13Y,no,no
oci:06390201020-06110188412,omid:br/06390201020,omid:br/06110188412,2018-03-31,P3Y8M15D,no,no
oci:06204619031-062202138132,omid:br/06204619031,omid:br/062202138132,2012,P4Y,no,no
oci:06204619031-061802381238,omid:br/06204619031,omid:br/061802381238,2012,P1Y,no,no
oci:06204619031-061101642994,omid:br/06204619031,omid:br/061101642994,2012,P2Y,no,no
oci:06390201051-061901285735,omid:br/06390201051,omid:br/061901285735,2021-03-31,P0Y6M26D,no,no
oci:06304585918-06304585875,omid:br/06304585918,omid:br/06304585875,1982,P0Y,yes,no
oci:06304585848-06304585906,omid:br/06304585848,omid:br/06304585906,1982,P2Y,yes,no
oci:06304585958-06304585867,omid:br/06304585958,omid:br/06304585867,1985,P5Y,yes,no
oci:06304585894-06703507134,omid:br/06304585894,omid:br/06703507134,1980,P3Y,no,no
oci:06304585969-06304585747,omid:br/06304585969,omid:br/06304585747,1982,P5Y,yes,no
oci:06304585969-06504032394,omid:br/06304585969,omid:br/06504032394,1982,P15Y,no,no
oci:06304585969-06304024719,omid:br/06304585969,omid:br/06304024719,1982,P8Y,no,no
oci:06304585969-06404023448,omid:br/06304585969,omid:br/06404023448,1982,P10Y,no,no
oci:06304585969-06304585884,omid:br/06304585969,omid:br/06304585884,1982,P3Y,yes,no
oci:06304585939-06304585823,omid:br/06304585939,omid:br/06304585823,1983,P3Y,yes,no
oci:06304585939-06304585935,omid:br/06304585939,omid:br/06304585935,1983,P1Y,yes,no
oci:06304585939-06304585783,omid:br/06304585939,omid:br/06304585783,1983,P5Y,yes,no
oci:06304585939-06304585854,omid:br/06304585939,omid:br/06304585854,1983,P4Y,yes,no
oci:06304585811-06304585882,omid:br/06304585811,omid:br/06304585882,1980,P2Y,yes,no
oci:06304585811-06304585906,omid:br/06304585811,omid:br/06304585906,1980,P0Y,yes,no
oci:06304585810-06702489693,omid:br/06304585810,omid:br/06702489693,1982,P16Y,no,no
oci:06304585810-0650937013,omid:br/06304585810,omid:br/0650937013,1982,P14Y,no,no
oci:06304585810-061101518389,omid:br/06304585810,omid:br/061101518389,1982,P2Y,no,no
oci:06304585887-068090163,omid:br/06304585887,omid:br/068090163,1982,P34Y,no,no
oci:06304585887-06304585892,omid:br/06304585887,omid:br/06304585892,1982,P2Y,yes,no
oci:06304585887-06501142606,omid:br/06304585887,omid:br/06501142606,1982,P12Y,no,no
oci:06304585920-06401527884,omid:br/06304585920,omid:br/06401527884,1982,P9Y,no,no
oci:06304585920-06304585824,omid:br/06304585920,omid:br/06304585824,1982,P3Y,yes,no
oci:06304585812-0627026688,omid:br/06304585812,omid:br/0627026688,1982,P6Y,no,no
oci:06304585812-06304585883,omid:br/06304585812,omid:br/06304585883,1982,P3Y,yes,no
oci:06304585812-06304585892,omid:br/06304585812,omid:br/06304585892,1982,P2Y,yes,no
oci:06304585812-06304585881,omid:br/06304585812,omid:br/06304585881,1982,P3Y,yes,no
oci:06304585812-062601217345,omid:br/06304585812,omid:br/062601217345,1982,P24Y,no,no
oci:06304585932-061401121088,omid:br/06304585932,omid:br/061401121088,1983,P12Y,no,no
oci:06304585856-06304585873,omid:br/06304585856,omid:br/06304585873,1980,P0Y,yes,no
oci:06304585856-06304585867,omid:br/06304585856,omid:br/06304585867,1980,P0Y,yes,no
oci:06304585856-06340248789,omid:br/06304585856,omid:br/06340248789,1980,,no,no
oci:06304585856-06340248790,omid:br/06304585856,omid:br/06340248790,1980,,no,no
oci:06304585968-0610940223,omid:br/06304585968,omid:br/0610940223,1984,P16Y,no,no
oci:06304586009-062603593151,omid:br/06304586009,omid:br/062603593151,1982,P2Y,no,no
