id,citing,cited
oci:06360298588-0610243119,omid:br/06360298588,omid:br/0610243119
oci:06360298668-061102020954,omid:br/06360298668,omid:br/061102020954
oci:06360298668-06240247362,omid:br/06360298668,omid:br/06240247362
oci:06360298668-062201466487,omid:br/06360298668,omid:br/062201466487
oci:06360298668-061102021046,omid:br/06360298668,omid:br/061102021046
oci:061503942064-061501077250,omid:br/061503942064,omid:br/061501077250
oci:061603943995-061401893859,omid:br/061603943995,omid:br/061401893859
oci:061603944001-062103011078,omid:br/061603944001,omid:br/062103011078
oci:0604205084-062603093723,omid:br/0604205084,omid:br/062603093723
oci:061603944163-0690694302,omid:br/061603944163,omid:br/0690694302
oci:0604205061-062501694573,omid:br/0604205061,omid:br/062501694573
oci:061403557258-06704478097,omid:br/061403557258,omid:br/06704478097
oci:061403557258-062101060030,omid:br/061403557258,omid:br/062101060030
oci:061403557258-062601075743,omid:br/061403557258,omid:br/062601075743
oci:061403557258-06801486685,omid:br/061403557258,omid:br/06801486685
oci:061403557258-06801486681,omid:br/061403557258,omid:br/06801486681
oci:061403557258-06504604172,omid:br/061403557258,omid:br/06504604172
oci:061403557258-062101059916,omid:br/061403557258,omid:br/062101059916
oci:061403557258-06140777248,omid:br/061403557258,omid:br/06140777248
oci:061403557258-061803124515,omid:br/061403557258,omid:br/061803124515
oci:0604570910-062201794541,omid:br/0604570910,omid:br/062201794541
oci:0604570910-06902638018,omid:br/0604570910,omid:br/06902638018
oci:0604570910-0640866277,omid:br/0604570910,omid:br/0640866277
oci:0604570910-06301529237,omid:br/0604570910,omid:br/06301529237
oci:0604570910-06201523863,omid:br/0604570910,omid:br/06201523863
oci:0604570910-06701521179,omid:br/0604570910,omid:br/06701521179
oci:0604570910-062601544440,omid:br/0604570910,omid:br/062601544440
oci:061603916353-06350199366,omid:br/061603916353,omid:br/06350199366
oci:061603916353-06903615897,omid:br/061603916353,omid:br/06903615897
oci:0604205032-06270216001,omid:br/0604205032,omid:br/06270216001
oci:0604205032-06502611755,omid:br/0604205032,omid:br/06502611755
oci:0604205032-061603592936,omid:br/0604205032,omid:br/061603592936
oci:0604205032-06901961432,omid:br/0604205032,omid:br/06901961432
oci:0604205032-061401443952,omid:br/0604205032,omid:br/061401443952
oci:0604205032-06110900258,omid:br/0604205032,omid:br/06110900258
oci:0604205032-062603596264,omid:br/0604205032,omid:br/062603596264
oci:0604205032-062401929610,omid:br/0604205032,omid:br/062401929610
oci:0604205032-061803587091,omid:br/0604205032,omid:br/061803587091
oci:0604205032-061803591561,omid:br/0604205032,omid:br/061803591561
oci:0604205032-06502611718,omid:br/0604205032,omid:br/06502611718
oci:06450301083-0626099648,omid:br/06450301083,omid:br/0626099648
oci:06450301080-06170346199,omid:br/06450301080,omid:br/06170346199
oci:06450301045-0604293364,omid:br/06450301045,omid:br/0604293364
oci:06450301019-0660178352,omid:br/06450301019,omid:br/0660178352
oci:06290325945-0640431541,omid:br/06290325945,omid:br/0640431541
oci:06430300693-061302802311,omid:br/06430300693,omid:br/061302802311
oci:06450304458-06120280975,omid:br/06450304458,omid:br/06120280975
oci:06410310341-06901703357,omid:br/06410310341,omid:br/06901703357
oci:06410310404-06240426090,omid:br/06410310404,omid:br/06240426090
oci:06450304451-06170581103,omid:br/06450304451,omid:br/06170581103
oci:06450304451-06302276435,omid:br/06450304451,omid:br/06302276435
oci:06450304451-061301782397,omid:br/06450304451,omid:br/061301782397
oci:06450304451-062402382219,omid:br/06450304451,omid:br/062402382219
oci:06450304469-06120281188,omid:br/06450304469,omid:br/06120281188
oci:06450304469-06180286969,omid:br/06450304469,omid:br/06180286969
oci:06450304469-061502816633,omid:br/06450304469,omid:br/061502816633
oci:06450304469-06110288904,omid:br/06450304469,omid:br/06110288904
oci:06450304469-06210283250,omid:br/06450304469,omid:br/06210283250
oci:06450304426-06150198273,omid:br/06450304426,omid:br/06150198273
oci:06350302654-06120447002,omid:br/06350302654,omid:br/06120447002
oci:0604704178-06140277742,omid:br/0604704178,omid:br/06140277742
oci:06370312514-0680356010,omid:br/06370312514,omid:br/0680356010
oci:06370312514-062301980299,omid:br/06370312514,omid:br/062301980299
oci:06370312514-062502800150,omid:br/06370312514,omid:br/062502800150
oci:06420302431-06170896652,omid:br/06420302431,omid:br/06170896652
oci:06420302394-061402863231,omid:br/06420302394,omid:br/061402863231
oci:0604704154-06701466411,omid:br/0604704154,omid:br/06701466411
oci:06350302714-062601111447,omid:br/06350302714,omid:br/062601111447
oci:06410310670-06802174768,omid:br/06410310670,omid:br/06802174768
oci:06410310670-061904145003,omid:br/06410310670,omid:br/061904145003
oci:06410310670-06801199734,omid:br/06410310670,omid:br/06801199734
oci:0604704118-061402791720,omid:br/0604704118,omid:br/061402791720
oci:06350302745-0680601704,omid:br/06350302745,omid:br/0680601704
oci:0604704094-06120747112,omid:br/0604704094,omid:br/06120747112
oci:06430300251-06201105784,omid:br/06430300251,omid:br/06201105784
oci:06350302746-06160462862,omid:br/06350302746,omid:br/06160462862
oci:06350302746-062101098797,omid:br/06350302746,omid:br/062101098797
oci:06350302746-06190406948,omid:br/06350302746,omid:br/06190406948
oci:06350302746-06103449982,omid:br/06350302746,omid:br/06103449982
oci:06350302746-062201099679,omid:br/06350302746,omid:br/062201099679
oci:06350302746-062401624538,omid:br/06350302746,omid:br/062401624538
oci:06350302746-062404159461,omid:br/06350302746,omid:br/062404159461
oci:06350302746-06220478565,omid:br/06350302746,omid:br/06220478565
oci:06350302746-06102780000,omid:br/06350302746,omid:br/06102780000
oci:06350302746-06260162288,omid:br/06350302746,omid:br/06260162288
oci:06420302506-06503044960,omid:br/06420302506,omid:br/06503044960
oci:06440302869-061501755517,omid:br/06440302869,omid:br/061501755517
oci:06440302869-062101540743,omid:br/06440302869,omid:br/062101540743
oci:06440302869-06420287582,omid:br/06440302869,omid:br/06420287582
oci:06410310237-064901570,omid:br/06410310237,omid:br/064901570
oci:06410310580-0604647533,omid:br/06410310580,omid:br/0604647533
oci:06410310580-06180940769,omid:br/06410310580,omid:br/06180940769
oci:06410310633-06802791246,omid:br/06410310633,omid:br/06802791246
oci:06410310653-06230192666,omid:br/06410310653,omid:br/06230192666
oci:06410310606-0660457437,omid:br/06410310606,omid:br/0660457437
oci:06440302845-06230433653,omid:br/06440302845,omid:br/06230433653
oci:06410310598-06903356627,omid:br/06410310598,omid:br/06903356627
oci:06410310598-061102427353,omid:br/06410310598,omid:br/061102427353
oci:06410310598-06201266287,omid:br/06410310598,omid:br/06201266287
oci:06410310598-061802380565,omid:br/06410310598,omid:br/061802380565
oci:06410310598-06801640325,omid:br/06410310598,omid:br/06801640325
oci:06410310657-06903356351,omid:br/06410310657,omid:br/06903356351
oci:06360302144-061101720198,omid:br/06360302144,omid:br/061101720198
oci:06410310579-06403132995,omid:br/06410310579,omid:br/06403132995
oci:06410310618-06501159519,omid:br/06410310618,omid:br/06501159519
oci:06410310618-06501159450,omid:br/06410310618,omid:br/06501159450
oci:06440302880-06701792622,omid:br/06440302880,omid:br/06701792622
oci:06360302168-06403234051,omid:br/06360302168,omid:br/06403234051
oci:06430300200-061101349970,omid:br/06430300200,omid:br/061101349970
oci:06410310270-061303289780,omid:br/06410310270,omid:br/061303289780
oci:06410310270-06901953720,omid:br/06410310270,omid:br/06901953720
oci:06360302137-06501699924,omid:br/06360302137,omid:br/06501699924
oci:06360302137-06401700677,omid:br/06360302137,omid:br/06401700677
oci:06360302132-06250846434,omid:br/06360302132,omid:br/06250846434
oci:06360302132-0640779482,omid:br/06360302132,omid:br/0640779482
oci:06450304354-06180286832,omid:br/06450304354,omid:br/06180286832
oci:06450304354-06230638555,omid:br/06450304354,omid:br/06230638555
oci:06430300177-061502698399,omid:br/06430300177,omid:br/061502698399
oci:06430300187-061101974034,omid:br/06430300187,omid:br/061101974034
oci:0604122495-06803023905,omid:br/0604122495,omid:br/06803023905
oci:06440302890-06150178173,omid:br/06440302890,omid:br/06150178173
oci:06410310255-062301944381,omid:br/06410310255,omid:br/062301944381
oci:06410310255-062501303690,omid:br/06410310255,omid:br/062501303690
oci:06430300195-061503305665,omid:br/06430300195,omid:br/061503305665
oci:0604122513-0610987146,omid:br/0604122513,omid:br/0610987146
oci:0604122559-06230436555,omid:br/0604122559,omid:br/06230436555
oci:0604122548-06901296918,omid:br/0604122548,omid:br/06901296918
oci:06350303113-061201841850,omid:br/06350303113,omid:br/061201841850
oci:06350303113-0604837125,omid:br/06350303113,omid:br/0604837125
oci:06350303113-06230605405,omid:br/06350303113,omid:br/06230605405
oci:06350303113-062102055452,omid:br/06350303113,omid:br/062102055452
oci:06350303113-06702426633,omid:br/06350303113,omid:br/06702426633
oci:06350303113-06502450889,omid:br/06350303113,omid:br/06502450889
oci:06350303170-06704540426,omid:br/06350303170,omid:br/06704540426
oci:06350303170-06704540405,omid:br/06350303170,omid:br/06704540405
oci:06350303170-06704540448,omid:br/06350303170,omid:br/06704540448
oci:06350303170-06704540451,omid:br/06350303170,omid:br/06704540451
oci:06350303170-06204567937,omid:br/06350303170,omid:br/06204567937
oci:06350303170-06704540434,omid:br/06350303170,omid:br/06704540434
oci:06350303170-06704540476,omid:br/06350303170,omid:br/06704540476
oci:06350303170-06460301824,omid:br/06350303170,omid:br/06460301824
oci:06350303170-06104576707,omid:br/06350303170,omid:br/06104576707
oci:06350303170-06204567886,omid:br/06350303170,omid:br/06204567886
oci:06350303170-06504581916,omid:br/06350303170,omid:br/06504581916
oci:06350303170-06504581239,omid:br/06350303170,omid:br/06504581239
oci:06350303170-06504581854,omid:br/06350303170,omid:br/06504581854
oci:06350303170-06460302084,omid:br/06350303170,omid:br/06460302084
oci:06350303112-062402686420,omid:br/06350303112,omid:br/062402686420
oci:06350303115-06904074447,omid:br/06350303115,omid:br/06904074447
oci:06350303136-06204567885,omid:br/06350303136,omid:br/06204567885
oci:06350303179-06130471145,omid:br/06350303179,omid:br/06130471145
oci:06410310549-06904074679,omid:br/06410310549,omid:br/06904074679
oci:06410310529-06220267167,omid:br/06410310529,omid:br/06220267167
oci:06410310551-0604837118,omid:br/06410310551,omid:br/0604837118
oci:06410310551-0604837119,omid:br/06410310551,omid:br/0604837119
oci:06410310551-0604837120,omid:br/06410310551,omid:br/0604837120
oci:06410310551-0604837121,omid:br/06410310551,omid:br/0604837121
oci:06410310551-0604837122,omid:br/06410310551,omid:br/0604837122
oci:06410310551-0604837123,omid:br/06410310551,omid:br/0604837123
oci:06410310551-0604837124,omid:br/06410310551,omid:br/0604837124
oci:06410310537-06904074364,omid:br/06410310537,omid:br/06904074364
oci:06410310527-06904074706,omid:br/06410310527,omid:br/06904074706
oci:06410310526-06904074351,omid:br/06410310526,omid:br/06904074351
oci:06410310553-06904074330,omid:br/06410310553,omid:br/06904074330
oci:06350303123-06601402240,omid:br/06350303123,omid:br/06601402240
oci:06380300751-0638060598,omid:br/06380300751,omid:br/0638060598
oci:06440303234-0604837126,omid:br/06440303234,omid:br/0604837126
oci:06440303234-0604837127,omid:br/06440303234,omid:br/0604837127
oci:06440303234-06601487061,omid:br/06440303234,omid:br/06601487061
oci:06440303234-06204567955,omid:br/06440303234,omid:br/06204567955
oci:06380300698-06302574532,omid:br/06380300698,omid:br/06302574532
oci:06380300743-0604837129,omid:br/06380300743,omid:br/0604837129
oci:06380300743-0604837130,omid:br/06380300743,omid:br/0604837130
oci:06380300743-0604837131,omid:br/06380300743,omid:br/0604837131
oci:06380300733-06104576700,omid:br/06380300733,omid:br/06104576700
oci:06380300675-061402093990,omid:br/06380300675,omid:br/061402093990
oci:06380300675-06904074426,omid:br/06380300675,omid:br/06904074426
oci:06440303282-06904074574,omid:br/06440303282,omid:br/06904074574
oci:06440303212-06220267167,omid:br/06440303212,omid:br/06220267167
oci:06380300679-06480206464,omid:br/06380300679,omid:br/06480206464
oci:06380300704-06904074665,omid:br/06380300704,omid:br/06904074665
oci:06380300753-06330248797,omid:br/06380300753,omid:br/06330248797
oci:06380300662-06904074677,omid:br/06380300662,omid:br/06904074677
oci:06380300661-06604570774,omid:br/06380300661,omid:br/06604570774
oci:06380300695-06904074668,omid:br/06380300695,omid:br/06904074668
oci:06380300681-06904074379,omid:br/06380300681,omid:br/06904074379
oci:06380300690-06904074659,omid:br/06380300690,omid:br/06904074659
oci:06380300690-06904074421,omid:br/06380300690,omid:br/06904074421
oci:06380300711-0604837128,omid:br/06380300711,omid:br/0604837128
oci:0604515090-06204568255,omid:br/0604515090,omid:br/06204568255
oci:06430300911-06904074683,omid:br/06430300911,omid:br/06904074683
oci:0604515063-06904074654,omid:br/0604515063,omid:br/06904074654
oci:06430300903-0604837132,omid:br/06430300903,omid:br/0604837132
oci:06430300956-06504581622,omid:br/06430300956,omid:br/06504581622
oci:06430300905-06260503343,omid:br/06430300905,omid:br/06260503343
oci:06430300900-06460301778,omid:br/06430300900,omid:br/06460301778
oci:06430300912-062402686420,omid:br/06430300912,omid:br/062402686420
oci:06430300929-06904074668,omid:br/06430300929,omid:br/06904074668
oci:06430300941-0604837133,omid:br/06430300941,omid:br/0604837133
oci:06440302681-06220267167,omid:br/06440302681,omid:br/06220267167
oci:06430300939-0604837130,omid:br/06430300939,omid:br/0604837130
oci:06430300939-0604837134,omid:br/06430300939,omid:br/0604837134
oci:06430300939-06301768418,omid:br/06430300939,omid:br/06301768418
oci:06430300937-061101615519,omid:br/06430300937,omid:br/061101615519
oci:06430300937-0634060843,omid:br/06430300937,omid:br/0634060843
oci:0604515043-0604837135,omid:br/0604515043,omid:br/0604837135
oci:0604515016-06904074352,omid:br/0604515016,omid:br/06904074352
oci:06430300966-062501534688,omid:br/06430300966,omid:br/062501534688
oci:0604557436-06520287941,omid:br/0604557436,omid:br/06520287941
oci:06904223053-06520287941,omid:br/06904223053,omid:br/06520287941
oci:06904222812-061104226342,omid:br/06904222812,omid:br/061104226342
oci:06904222812-06901557818,omid:br/06904222812,omid:br/06901557818
oci:061204094936-061204094859,omid:br/061204094936,omid:br/061204094859
oci:06510304754-06520288315,omid:br/06510304754,omid:br/06520288315
