id,citing,cited
oci:062504082965-061401197200,omid:br/062504082965,omid:br/061401197200
oci:062504082965-062101119628,omid:br/062504082965,omid:br/062101119628
oci:062504082965-061601970942,omid:br/062504082965,omid:br/061601970942
oci:062504082965-06203239511,omid:br/062504082965,omid:br/06203239511
oci:062504082965-061501962124,omid:br/062504082965,omid:br/061501962124
oci:062504082965-0690106989,omid:br/062504082965,omid:br/0690106989
oci:062504082965-061401196526,omid:br/062504082965,omid:br/061401196526
oci:062504082965-062601141376,omid:br/062504082965,omid:br/062601141376
oci:06350272431-061801962620,omid:br/06350272431,omid:br/061801962620
oci:06350272085-061203522748,omid:br/06350272085,omid:br/061203522748
oci:06350272375-061804153017,omid:br/06350272375,omid:br/061804153017
oci:06350272152-06350272246,omid:br/06350272152,omid:br/06350272246
oci:06350272394-0604828811,omid:br/06350272394,omid:br/0604828811
oci:06350272394-0604828812,omid:br/06350272394,omid:br/0604828812
oci:06350272394-0604828810,omid:br/06350272394,omid:br/0604828810
oci:06350272394-06350272509,omid:br/06350272394,omid:br/06350272509
oci:06350272394-06350272522,omid:br/06350272394,omid:br/06350272522
oci:06350272611-062201389942,omid:br/06350272611,omid:br/062201389942
oci:06350272611-06160605425,omid:br/06350272611,omid:br/06160605425
oci:06350272426-06350272395,omid:br/06350272426,omid:br/06350272395
oci:06350272370-06190906280,omid:br/06350272370,omid:br/06190906280
oci:06350272349-06230967449,omid:br/06350272349,omid:br/06230967449
oci:06350272349-061101019979,omid:br/06350272349,omid:br/061101019979
oci:06350272630-06350272564,omid:br/06350272630,omid:br/06350272564
oci:06350272558-06350272592,omid:br/06350272558,omid:br/06350272592
oci:06350272162-062401472673,omid:br/06350272162,omid:br/062401472673
oci:06350272185-06150151737,omid:br/06350272185,omid:br/06150151737
oci:06350272185-06350272429,omid:br/06350272185,omid:br/06350272429
oci:06350272185-06350272060,omid:br/06350272185,omid:br/06350272060
oci:06350272172-0610467800,omid:br/06350272172,omid:br/0610467800
oci:06350272172-06350272049,omid:br/06350272172,omid:br/06350272049
oci:06350272172-06350272200,omid:br/06350272172,omid:br/06350272200
oci:06350272393-0604828815,omid:br/06350272393,omid:br/0604828815
oci:06350272393-06501479259,omid:br/06350272393,omid:br/06501479259
oci:06350272363-062103479927,omid:br/06350272363,omid:br/062103479927
oci:06350272133-06350272626,omid:br/06350272133,omid:br/06350272626
oci:06350272588-06350272558,omid:br/06350272588,omid:br/06350272558
oci:06350272244-06350272142,omid:br/06350272244,omid:br/06350272142
oci:06350272596-0660351293,omid:br/06350272596,omid:br/0660351293
oci:06350272358-0604828816,omid:br/06350272358,omid:br/0604828816
oci:06350272580-06190906185,omid:br/06350272580,omid:br/06190906185
oci:06350272179-0680362088,omid:br/06350272179,omid:br/0680362088
oci:06350272179-06170733719,omid:br/06350272179,omid:br/06170733719
oci:06350272060-06350272429,omid:br/06350272060,omid:br/06350272429
oci:06350272351-061403485014,omid:br/06350272351,omid:br/061403485014
oci:06350272206-06350272492,omid:br/06350272206,omid:br/06350272492
oci:06350272206-06350272579,omid:br/06350272206,omid:br/06350272579
oci:06350272367-0630408022,omid:br/06350272367,omid:br/0630408022
oci:06350272367-06180897566,omid:br/06350272367,omid:br/06180897566
oci:06350272367-06190906746,omid:br/06350272367,omid:br/06190906746
oci:06350272423-0604828811,omid:br/06350272423,omid:br/0604828811
oci:06350272423-06380300578,omid:br/06350272423,omid:br/06380300578
oci:06350272423-0604828812,omid:br/06350272423,omid:br/0604828812
oci:06350272423-0604828810,omid:br/06350272423,omid:br/0604828810
oci:06350272423-06350272509,omid:br/06350272423,omid:br/06350272509
oci:06350272423-06350272522,omid:br/06350272423,omid:br/06350272522
oci:06350272423-06350272394,omid:br/06350272423,omid:br/06350272394
oci:06350272239-06350272177,omid:br/06350272239,omid:br/06350272177
oci:06350272184-0640694025,omid:br/06350272184,omid:br/0640694025
oci:06350272184-06402783200,omid:br/06350272184,omid:br/06402783200
oci:06350272233-062301492912,omid:br/06350272233,omid:br/062301492912
oci:06350272233-062401472452,omid:br/06350272233,omid:br/062401472452
oci:06350272424-06380300578,omid:br/06350272424,omid:br/06380300578
oci:06350272424-0604828817,omid:br/06350272424,omid:br/0604828817
oci:06350272531-06230851237,omid:br/06350272531,omid:br/06230851237
oci:06350272531-06240836261,omid:br/06350272531,omid:br/06240836261
oci:06350272084-0630697250,omid:br/06350272084,omid:br/0630697250
oci:06350272084-0630697236,omid:br/06350272084,omid:br/0630697236
oci:06350272084-06350272626,omid:br/06350272084,omid:br/06350272626
oci:06350272084-06350272355,omid:br/06350272084,omid:br/06350272355
oci:06350272522-0604828810,omid:br/06350272522,omid:br/0604828810
oci:06350272522-0604828811,omid:br/06350272522,omid:br/0604828811
oci:06350272522-06350272509,omid:br/06350272522,omid:br/06350272509
oci:06350272522-0604828812,omid:br/06350272522,omid:br/0604828812
oci:06350272488-06240836081,omid:br/06350272488,omid:br/06240836081
oci:06350272488-06350272448,omid:br/06350272488,omid:br/06350272448
oci:06350272203-06350272151,omid:br/06350272203,omid:br/06350272151
oci:06350272203-06350272223,omid:br/06350272203,omid:br/06350272223
oci:06350272435-061703065293,omid:br/06350272435,omid:br/061703065293
oci:06350272108-06160604527,omid:br/06350272108,omid:br/06160604527
oci:06350272196-0610467800,omid:br/06350272196,omid:br/0610467800
oci:06350272196-06603221354,omid:br/06350272196,omid:br/06603221354
oci:06350272196-06350272049,omid:br/06350272196,omid:br/06350272049
oci:06350272196-06350272192,omid:br/06350272196,omid:br/06350272192
oci:06350272227-06220899846,omid:br/06350272227,omid:br/06220899846
oci:06350272365-06350272529,omid:br/06350272365,omid:br/06350272529
oci:06350272408-06350272421,omid:br/06350272408,omid:br/06350272421
oci:06350272145-06350272476,omid:br/06350272145,omid:br/06350272476
oci:06350272355-0630697250,omid:br/06350272355,omid:br/0630697250
oci:06350272355-0630697236,omid:br/06350272355,omid:br/0630697236
oci:06350272355-0650608332,omid:br/06350272355,omid:br/0650608332
oci:06350272395-0604828813,omid:br/06350272395,omid:br/0604828813
oci:06350272144-06403067866,omid:br/06350272144,omid:br/06403067866
oci:06350272144-06190906673,omid:br/06350272144,omid:br/06190906673
oci:06350272421-06350272541,omid:br/06350272421,omid:br/06350272541
oci:06350272421-06190906998,omid:br/06350272421,omid:br/06190906998
oci:06350272421-06350272610,omid:br/06350272421,omid:br/06350272610
oci:06350272643-06350272592,omid:br/06350272643,omid:br/06350272592
oci:06350272643-06350272629,omid:br/06350272643,omid:br/06350272629
oci:06350272420-0604828814,omid:br/06350272420,omid:br/0604828814
oci:06350272420-062402406595,omid:br/06350272420,omid:br/062402406595
oci:06350272420-06350272628,omid:br/06350272420,omid:br/06350272628
oci:06350272220-0620604963,omid:br/06350272220,omid:br/0620604963
oci:06350272220-0670604099,omid:br/06350272220,omid:br/0670604099
oci:06350272384-06350272558,omid:br/06350272384,omid:br/06350272558
oci:06350272397-06350272558,omid:br/06350272397,omid:br/06350272558
oci:06350272150-06402182209,omid:br/06350272150,omid:br/06402182209
oci:06350272354-062102869581,omid:br/06350272354,omid:br/062102869581
oci:06350272354-061804062129,omid:br/06350272354,omid:br/061804062129
oci:06350272246-06350272626,omid:br/06350272246,omid:br/06350272626
oci:06350272200-06350272049,omid:br/06350272200,omid:br/06350272049
oci:06350272200-06603221354,omid:br/06350272200,omid:br/06603221354
oci:06350272200-0610467800,omid:br/06350272200,omid:br/0610467800
oci:06350272376-06350272532,omid:br/06350272376,omid:br/06350272532
oci:06350272208-06350272108,omid:br/06350272208,omid:br/06350272108
oci:06350272362-061502197561,omid:br/06350272362,omid:br/061502197561
oci:06350272362-06602840570,omid:br/06350272362,omid:br/06602840570
oci:06350272362-06802854368,omid:br/06350272362,omid:br/06802854368
oci:06350272362-06230851605,omid:br/06350272362,omid:br/06230851605
oci:06350272362-06350272641,omid:br/06350272362,omid:br/06350272641
oci:06350272362-061801455333,omid:br/06350272362,omid:br/061801455333
oci:06350272362-061801456230,omid:br/06350272362,omid:br/061801456230
oci:06350272568-06510312977,omid:br/06350272568,omid:br/06510312977
