id,citing,cited,creation,timespan,journal_sc,author_sc
oci:06450274588-06202514815,omid:br/06450274588,omid:br/06202514815,2014,P1Y,no,no
oci:061603577687-0642068485,omid:br/061603577687,omid:br/0642068485,2015,P6Y,no,no
oci:06450274067-061303788100,omid:br/06450274067,omid:br/061303788100,2015,P5Y,no,no
oci:06450274067-06170949610,omid:br/06450274067,omid:br/06170949610,2015,P7Y,no,no
oci:06450274067-06140167601,omid:br/06450274067,omid:br/06140167601,2015,P5Y,no,no
oci:06450274067-0636066647,omid:br/06450274067,omid:br/0636066647,2015,P3Y,no,no
oci:06450274067-0636066649,omid:br/06450274067,omid:br/0636066649,2015,P3Y,no,no
oci:06440275219-062203843919,omid:br/06440275219,omid:br/062203843919,2017,P1Y,no,no
oci:06440275219-062302711475,omid:br/06440275219,omid:br/062302711475,2017,P2Y,no,no
oci:06440275148-0632034501,omid:br/06440275148,omid:br/0632034501,2017,P3Y,no,no
oci:06440275148-06601253280,omid:br/06440275148,omid:br/06601253280,2017,P1Y,no,no
oci:06460276984-061401129551,omid:br/06460276984,omid:br/061401129551,2014,P3Y,no,no
oci:06460276999-061101529976,omid:br/06460276999,omid:br/061101529976,2014,P1Y,no,no
oci:06440275191-0640939045,omid:br/06440275191,omid:br/0640939045,2017,P0Y,no,no
oci:06450274255-062602900813,omid:br/06450274255,omid:br/062602900813,2022,P4Y,no,no
oci:06450274255-062502116407,omid:br/06450274255,omid:br/062502116407,2022,P50Y,no,no
oci:06450274276-0620892793,omid:br/06450274276,omid:br/0620892793,2022,P3Y,no,no
oci:06450274276-0640896646,omid:br/06450274276,omid:br/0640896646,2022,P10Y,no,no
oci:06450274276-06701242623,omid:br/06450274276,omid:br/06701242623,2022,P8Y,no,no
oci:06430276604-06602447419,omid:br/06430276604,omid:br/06602447419,2016,P1Y,no,no
oci:06430276604-0690631026,omid:br/06430276604,omid:br/0690631026,2016,P2Y,no,no
oci:0604490351-062202706350,omid:br/0604490351,omid:br/062202706350,2018-05-01,P1Y3M16D,no,no
oci:06430276613-061402761001,omid:br/06430276613,omid:br/061402761001,2016,P2Y,no,no
oci:0604490324-06260475978,omid:br/0604490324,omid:br/06260475978,2018-05-01,P4Y3M21D,no,no
oci:06703983240-0632034138,omid:br/06703983240,omid:br/0632034138,2018-05-01,P3Y2M7D,no,no
oci:06703983240-0633031858,omid:br/06703983240,omid:br/0633031858,2018-05-01,P3Y6M25D,no,no
oci:06703983240-068019919,omid:br/06703983240,omid:br/068019919,2018-05-01,,no,no
oci:06703983240-06490265984,omid:br/06703983240,omid:br/06490265984,2018-05-01,P4Y11M1D,no,no
oci:06703983240-0633032374,omid:br/06703983240,omid:br/0633032374,2018-05-01,P4Y1M7D,no,no
oci:0604490296-0620846486,omid:br/0604490296,omid:br/0620846486,2018-11-05,P13Y0M,no,no
oci:0604490296-06803121686,omid:br/0604490296,omid:br/06803121686,2018-11-05,P10Y6M21D,no,no
oci:06430276606-0630187460,omid:br/06430276606,omid:br/0630187460,2016,P1Y,no,no
oci:06430276599-062501515881,omid:br/06430276599,omid:br/062501515881,2016,P0Y,no,no
oci:06440274857-06901543857,omid:br/06440274857,omid:br/06901543857,2012,P1Y,no,no
oci:06440274857-06701793782,omid:br/06440274857,omid:br/06701793782,2012,P3Y,no,no
oci:06440274857-06702996268,omid:br/06440274857,omid:br/06702996268,2012,P2Y,no,no
oci:06440274857-06702996321,omid:br/06440274857,omid:br/06702996321,2012,P3Y,no,no
oci:06440274857-06702996230,omid:br/06440274857,omid:br/06702996230,2012,P2Y,no,no
oci:06440274899-0627027799,omid:br/06440274899,omid:br/0627027799,2012,-P1Y,no,no
oci:06450274085-0639070104,omid:br/06450274085,omid:br/0639070104,2015,P0Y,no,no
oci:06440275037-062603333218,omid:br/06440275037,omid:br/062603333218,2010,P0Y,no,no
oci:06440275176-06301031310,omid:br/06440275176,omid:br/06301031310,2017,P7Y,no,no
oci:06440275176-06602537352,omid:br/06440275176,omid:br/06602537352,2017,P5Y,no,no
oci:06440275176-06301086945,omid:br/06440275176,omid:br/06301086945,2017,P1Y,no,no
oci:06440275176-061202120576,omid:br/06440275176,omid:br/061202120576,2017,P2Y,no,no
oci:06440275189-061501525227,omid:br/06440275189,omid:br/061501525227,2017,P4Y,no,no
oci:06440275189-0626062563,omid:br/06440275189,omid:br/0626062563,2017,,no,no
oci:06450274062-0660304516,omid:br/06450274062,omid:br/0660304516,2015,P4Y,no,no
oci:06450274062-06470278800,omid:br/06450274062,omid:br/06470278800,2015,P2Y,no,no
oci:06440275246-06101034071,omid:br/06440275246,omid:br/06101034071,2017,P2Y,no,no
oci:06440275246-062501088296,omid:br/06440275246,omid:br/062501088296,2017,P4Y,no,no
oci:0604490390-061202120881,omid:br/0604490390,omid:br/061202120881,2018-05-01,P2Y10M27D,no,no
oci:0604490390-061702117081,omid:br/0604490390,omid:br/061702117081,2018-05-01,P7Y2M0D,no,no
oci:0604490390-06601253420,omid:br/0604490390,omid:br/06601253420,2018-05-01,P2Y1M6D,no,no
oci:0604490390-06490265986,omid:br/0604490390,omid:br/06490265986,2018-05-01,P2Y,no,no
oci:0604490390-06210263150,omid:br/0604490390,omid:br/06210263150,2018-05-01,P1Y6M13D,no,no
oci:0604490311-0650216082,omid:br/0604490311,omid:br/0650216082,2018-05-01,P2Y0M3D,no,no
oci:06430276616-061501525227,omid:br/06430276616,omid:br/061501525227,2016,P3Y,no,no
oci:06430276134-0644027348,omid:br/06430276134,omid:br/0644027348,2020-04-15,P26Y10M,no,no
oci:06430276134-0660847617,omid:br/06430276134,omid:br/0660847617,2020-04-15,P18Y9M,no,no
oci:06430276134-06220838742,omid:br/06430276134,omid:br/06220838742,2020-04-15,P4Y9M,no,no
oci:06430276140-0610857232,omid:br/06430276140,omid:br/0610857232,2020-04-15,P12Y11M,no,no
oci:06430276140-06301030675,omid:br/06430276140,omid:br/06301030675,2020-04-15,P6Y8M21D,no,no
oci:06430276140-0680847872,omid:br/06430276140,omid:br/0680847872,2020-04-15,P21Y3M,no,no
oci:06430275812-061301242527,omid:br/06430275812,omid:br/061301242527,2020-04-15,P27Y4M14D,no,no
oci:06430275812-06901260507,omid:br/06430275812,omid:br/06901260507,2020-04-15,P21Y1M14D,no,no
oci:06430275747-0630849045,omid:br/06430275747,omid:br/0630849045,2020-04-15,P14Y8M,no,no
oci:06430275747-061101001206,omid:br/06430275747,omid:br/061101001206,2020-04-15,P11Y0M14D,no,no
oci:06430275791-062302199034,omid:br/06430275791,omid:br/062302199034,2020-04-15,P2Y,no,no
oci:06430275791-062501716907,omid:br/06430275791,omid:br/062501716907,2020-04-15,P1Y5M,no,no
oci:06430275791-061801241048,omid:br/06430275791,omid:br/061801241048,2020-04-15,P13Y8M14D,no,no
oci:06430275749-061801241018,omid:br/06430275749,omid:br/061801241018,2020-04-15,P13Y7M14D,no,no
oci:06430275749-0620846139,omid:br/06430275749,omid:br/0620846139,2020-04-15,P14Y1M,no,no
oci:06430275749-0630849418,omid:br/06430275749,omid:br/0630849418,2020-04-15,P15Y1M,no,no
oci:06430275749-0660847618,omid:br/06430275749,omid:br/0660847618,2020-04-15,P19Y11M,no,no
