id,citing,cited
oci:06370314261-06370314254,omid:br/06370314261,omid:br/06370314254
oci:06370314261-06370314234,omid:br/06370314261,omid:br/06370314234
oci:06370314261-06370314215,omid:br/06370314261,omid:br/06370314215
oci:06370314261-06370314230,omid:br/06370314261,omid:br/06370314230
oci:06370314261-0670277746,omid:br/06370314261,omid:br/0670277746
oci:06370314235-06360304461,omid:br/06370314235,omid:br/06360304461
oci:06370314235-06370314254,omid:br/06370314235,omid:br/06370314254
oci:06370314235-06370314264,omid:br/06370314235,omid:br/06370314264
oci:06370314235-0610496792,omid:br/06370314235,omid:br/0610496792
oci:06370314235-06370314230,omid:br/06370314235,omid:br/06370314230
oci:06370314235-06370314215,omid:br/06370314235,omid:br/06370314215
oci:06370314220-06370314220,omid:br/06370314220,omid:br/06370314220
oci:06370314234-06370314254,omid:br/06370314234,omid:br/06370314254
oci:06370314234-06370314230,omid:br/06370314234,omid:br/06370314230
oci:06370314234-0670277746,omid:br/06370314234,omid:br/0670277746
oci:06370314234-0670277707,omid:br/06370314234,omid:br/0670277707
oci:06360304468-06250347542,omid:br/06360304468,omid:br/06250347542
oci:06360304468-06801145941,omid:br/06360304468,omid:br/06801145941
oci:06360304468-06140478250,omid:br/06360304468,omid:br/06140478250
oci:06360304468-06130856836,omid:br/06360304468,omid:br/06130856836
oci:06370314264-06370314254,omid:br/06370314264,omid:br/06370314254
oci:06370314264-06370314234,omid:br/06370314264,omid:br/06370314234
oci:06370314264-06370314215,omid:br/06370314264,omid:br/06370314215
oci:06370314264-0670277707,omid:br/06370314264,omid:br/0670277707
oci:06360304426-06220678217,omid:br/06360304426,omid:br/06220678217
oci:06360304426-06140906417,omid:br/06360304426,omid:br/06140906417
oci:06360304426-0637018139,omid:br/06360304426,omid:br/0637018139
oci:06360304426-0636017923,omid:br/06360304426,omid:br/0636017923
oci:06360304483-061303760473,omid:br/06360304483,omid:br/061303760473
oci:06360304483-0650349200,omid:br/06360304483,omid:br/0650349200
oci:06360304483-061503597420,omid:br/06360304483,omid:br/061503597420
oci:06360304483-06110361882,omid:br/06360304483,omid:br/06110361882
oci:06370314238-06370314238,omid:br/06370314238,omid:br/06370314238
oci:06360304313-062502680779,omid:br/06360304313,omid:br/062502680779
oci:06360304313-06304015435,omid:br/06360304313,omid:br/06304015435
oci:06360304274-06370314302,omid:br/06360304274,omid:br/06370314302
oci:06360304274-06360304536,omid:br/06360304274,omid:br/06360304536
oci:06360304274-06370314308,omid:br/06360304274,omid:br/06370314308
oci:06360304274-061702664536,omid:br/06360304274,omid:br/061702664536
oci:06404005726-06403299649,omid:br/06404005726,omid:br/06403299649
oci:06404005726-061403563262,omid:br/06404005726,omid:br/061403563262
oci:06404005726-06603294710,omid:br/06404005726,omid:br/06603294710
oci:06404005726-06502143122,omid:br/06404005726,omid:br/06502143122
oci:06360304261-061801019236,omid:br/06360304261,omid:br/061801019236
oci:06360304261-0637039154,omid:br/06360304261,omid:br/0637039154
oci:06360304261-06701197416,omid:br/06360304261,omid:br/06701197416
oci:06360304261-0638038621,omid:br/06360304261,omid:br/0638038621
oci:06360304261-061801019196,omid:br/06360304261,omid:br/061801019196
oci:06360304219-06110220932,omid:br/06360304219,omid:br/06110220932
oci:06360304219-061203658965,omid:br/06360304219,omid:br/061203658965
oci:06360304219-06401123064,omid:br/06360304219,omid:br/06401123064
oci:06360304219-0641031412,omid:br/06360304219,omid:br/0641031412
oci:06360304219-06801482278,omid:br/06360304219,omid:br/06801482278
oci:06360304219-061401352659,omid:br/06360304219,omid:br/061401352659
oci:06360304229-0639038360,omid:br/06360304229,omid:br/0639038360
oci:06360304229-06370314287,omid:br/06360304229,omid:br/06370314287
oci:06360304229-062603593461,omid:br/06360304229,omid:br/062603593461
oci:06360304229-061802652282,omid:br/06360304229,omid:br/061802652282
oci:06360304229-06503298504,omid:br/06360304229,omid:br/06503298504
oci:06360304229-06360303865,omid:br/06360304229,omid:br/06360303865
oci:06360304229-06503298722,omid:br/06360304229,omid:br/06503298722
oci:06360304229-06801163886,omid:br/06360304229,omid:br/06801163886
