id,title,author,pub_date,venue,volume,issue,page,type,publisher,editor
doi:10.15468/dl.2zui4j,GBIF Occurrence Download,Occdownload Gbif.Org,2019,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.15468/dl.2zujag,Occurrence Download,Occdownload Gbif.Org,2021,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.15468/dl.xxzajg,GBIF Occurrence Download,Occdownload Gbif.Org,2018,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.1594/pangaea.186223,Radiocarbon Age Determinations On Sediment Core V14-115,Climap Project Members,2004,,,,,dataset,Pangaea - Data Publisher For Earth & Environmental Science,
doi:10.15468/dl.2zujfh,GBIF Occurrence Download,Occdownload Gbif.Org,2016,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.15468/dl.2zumhw,Occurrence Download,Occdownload Gbif.Org,2021,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.15468/dl.2zuq27,Occurrence Download,Occdownload Gbif.Org,2020,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.15468/dl.2zurk6,GBIF Occurrence Download,Occdownload Gbif.Org,2015,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.15468/dl.2zuryo,GBIF Occurrence Download,Occdownload Gbif.Org,2017,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.15468/dl.2zuumm,Occurrence Download,Occdownload Gbif.Org,2021,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.15468/dl.2zuvgk,Occurrence Download,Occdownload Gbif.Org,2020,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.15468/dl.2zuvzc,Occurrence Download,Occdownload Gbif.Org,2019,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.15468/dl.2zuwdv,GBIF Occurrence Download,Occdownload Gbif.Org,2019,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.15468/dl.2zv3wz,Occurrence Download,Occdownload Gbif.Org,2020,,,,,dataset,The Global Biodiversity Information Facility,
doi:10.1594/pangaea.186224,Radiocarbon Age Determinations On Sediment Core V14-118,Climap Project Members,2004,,,,,dataset,Pangaea - Data Publisher For Earth & Environmental Science,
doi:10.15468/dl.2zv5v8,Occurrence Download,Occdownload Gbif.Org,2021,,,,,dataset,The Global Biodiversity Information Facility,
